card,date,real_users
AMD Radeon RX 480,2016-10-01,32722
AMD Radeon RX 480,2016-11-01,41405
AMD Radeon RX 480,2016-12-01,56022
AMD Radeon RX 480,2017-08-01,96584
AMD Radeon RX 480,2017-10-01,59751
AMD Radeon RX 480,2017-11-01,43369
AMD Radeon RX 480,2017-12-01,47124
AMD Radeon RX 480,2018-01-01,43935
AMD Radeon RX 480,2018-02-01,45632
AMD Radeon RX 480,2018-03-01,66771
AMD Radeon RX 480,2018-04-01,106643
AMD Radeon RX 480,2018-05-01,103964
AMD Radeon RX 480,2018-06-01,97268
AMD Radeon RX 480,2018-07-01,94878
AMD Radeon RX 480,2018-08-01,91374
AMD Radeon RX 480,2018-09-01,98647
AMD Radeon RX 480,2018-10-01,85597
AMD Radeon RX 480,2018-11-01,94227
AMD Radeon RX 480,2018-12-01,101504
AMD Radeon RX 480,2019-01-01,98014
AMD Radeon RX 480,2019-02-01,91003
AMD Radeon RX 480,2019-03-01,95374
AMD Radeon RX 480,2019-04-01,88915
AMD Radeon RX 480,2019-05-01,95546
AMD Radeon RX 480,2019-06-01,99888
AMD Radeon RX 480,2019-07-01,90763
AMD Radeon RX 480,2019-08-01,89272
AMD Radeon RX 480,2019-09-01,99794
AMD Radeon RX 480,2019-10-01,84248
AMD Radeon RX 480,2019-11-01,85232
AMD Radeon RX 480,2019-12-01,97785
AMD Radeon RX 480,2020-01-01,101171
AMD Radeon RX 480,2020-02-01,100261
AMD Radeon RX 480,2020-03-01,105813
AMD Radeon RX 480,2020-04-01,135788
AMD Radeon RX 480,2020-05-01,129334
AMD Radeon RX 480,2020-06-01,114664
AMD Radeon RX 480,2020-07-01,109602
AMD Radeon RX 480,2020-08-01,98770
AMD Radeon RX 480,2020-09-01,108377
AMD Radeon RX 480,2020-10-01,106814
AMD Radeon RX 480,2020-11-01,111423
AMD Radeon RX 480,2020-12-01,94412
AMD Radeon RX 480,2021-01-01,111330
AMD Radeon RX 480,2021-02-01,110599
AMD Radeon RX 480,2021-03-01,112159
AMD Radeon RX 480,2021-04-01,108324
AMD Radeon RX 480,2021-05-01,103479
AMD Radeon RX 480,2021-06-01,89363
AMD Radeon RX 480,2021-07-01,90349
AMD Radeon RX 480,2021-08-01,81355
AMD Radeon RX 480,2021-09-01,83106
AMD Radeon RX 480,2021-10-01,85233
AMD Radeon RX 480,2021-11-01,91275
AMD Radeon RX 480,2021-12-01,94934
AMD Radeon RX 480,2022-01-01,97546
AMD Radeon RX 480,2022-02-01,96017
AMD Radeon RX 480,2022-03-01,93657
AMD Radeon RX 480,2022-04-01,95195
AMD Radeon RX 480,2022-05-01,101248
AMD Radeon RX 480,2022-06-01,84732
AMD Radeon RX 480,2022-07-01,96745
AMD Radeon RX 480,2022-08-01,82439
AMD Radeon RX 480,2022-09-01,74322
AMD Radeon RX 480,2022-10-01,73646
AMD Radeon RX 480,2022-11-01,79173
AMD Radeon RX 480,2022-12-01,75274
AMD Radeon RX 480,2023-01-01,83227
AMD Radeon RX 480,2023-02-01,72157
