card,date,real_users
AMD Radeon RX 5600 XT,2020-09-01,36807
AMD Radeon RX 5600 XT,2020-10-01,40589
AMD Radeon RX 5600 XT,2020-11-01,51069
AMD Radeon RX 5600 XT,2020-12-01,51926
AMD Radeon RX 5600 XT,2021-01-01,77447
AMD Radeon RX 5600 XT,2021-02-01,78648
AMD Radeon RX 5600 XT,2021-03-01,86668
AMD Radeon RX 5600 XT,2021-04-01,83133
AMD Radeon RX 5600 XT,2021-05-01,83768
AMD Radeon RX 5600 XT,2021-06-01,70041
AMD Radeon RX 5600 XT,2021-07-01,70814
AMD Radeon RX 5600 XT,2021-08-01,59820
AMD Radeon RX 5600 XT,2021-09-01,64110
AMD Radeon RX 5600 XT,2021-10-01,68186
AMD Radeon RX 5600 XT,2021-11-01,68456
AMD Radeon RX 5600 XT,2021-12-01,62456
AMD Radeon RX 5600 XT,2022-01-01,63273
AMD Radeon RX 5600 XT,2022-02-01,64011
AMD Radeon RX 5600 XT,2022-03-01,64222
AMD Radeon RX 5600 XT,2022-04-01,62556
AMD Radeon RX 5600 XT,2022-05-01,70311
AMD Radeon RX 5600 XT,2022-06-01,59055
AMD Radeon RX 5600 XT,2022-07-01,69871
AMD Radeon RX 5600 XT,2022-08-01,54100
AMD Radeon RX 5600 XT,2022-09-01,51257
AMD Radeon RX 5600 XT,2022-10-01,53818
AMD Radeon RX 5600 XT,2022-11-01,62207
AMD Radeon RX 5600 XT,2022-12-01,58546
AMD Radeon RX 5600 XT,2023-01-01,64732
AMD Radeon RX 5600 XT,2023-02-01,63498
