card,date,real_users
AMD Radeon Vega 8 Graphics,2019-04-01,35566
AMD Radeon Vega 8 Graphics,2019-05-01,27071
AMD Radeon Vega 8 Graphics,2019-06-01,35444
AMD Radeon Vega 8 Graphics,2019-07-01,29229
AMD Radeon Vega 8 Graphics,2019-08-01,30733
AMD Radeon Vega 8 Graphics,2019-09-01,45068
AMD Radeon Vega 8 Graphics,2019-10-01,48549
AMD Radeon Vega 8 Graphics,2019-11-01,54792
AMD Radeon Vega 8 Graphics,2019-12-01,60043
AMD Radeon Vega 8 Graphics,2020-01-01,72506
AMD Radeon Vega 8 Graphics,2020-02-01,87501
AMD Radeon Vega 8 Graphics,2020-03-01,103889
AMD Radeon Vega 8 Graphics,2020-04-01,133406
AMD Radeon Vega 8 Graphics,2020-05-01,136389
AMD Radeon Vega 8 Graphics,2020-06-01,142789
AMD Radeon Vega 8 Graphics,2020-07-01,146825
AMD Radeon Vega 8 Graphics,2020-08-01,153854
AMD Radeon Vega 8 Graphics,2020-09-01,177902
AMD Radeon Vega 8 Graphics,2020-10-01,194402
AMD Radeon Vega 8 Graphics,2020-11-01,218204
AMD Radeon Vega 8 Graphics,2020-12-01,202986
AMD Radeon Vega 8 Graphics,2021-01-01,246863
AMD Radeon Vega 8 Graphics,2021-02-01,253148
AMD Radeon Vega 8 Graphics,2021-03-01,267654
AMD Radeon Vega 8 Graphics,2021-04-01,272071
AMD Radeon Vega 8 Graphics,2021-05-01,283336
AMD Radeon Vega 8 Graphics,2021-06-01,265675
AMD Radeon Vega 8 Graphics,2021-07-01,283257
AMD Radeon Vega 8 Graphics,2021-08-01,256031
AMD Radeon Vega 8 Graphics,2021-09-01,270688
AMD Radeon Vega 8 Graphics,2021-10-01,284923
AMD Radeon Vega 8 Graphics,2021-11-01,291573
AMD Radeon Vega 8 Graphics,2021-12-01,272311
AMD Radeon Vega 8 Graphics,2022-01-01,295274
AMD Radeon Vega 8 Graphics,2022-02-01,288051
AMD Radeon Vega 8 Graphics,2022-03-01,272945
AMD Radeon Vega 8 Graphics,2022-04-01,288305
AMD Radeon Vega 8 Graphics,2022-05-01,284058
AMD Radeon Vega 8 Graphics,2022-06-01,264467
AMD Radeon Vega 8 Graphics,2022-07-01,247238
AMD Radeon Vega 8 Graphics,2022-08-01,260199
AMD Radeon Vega 8 Graphics,2022-09-01,238345
AMD Radeon Vega 8 Graphics,2022-10-01,243598
AMD Radeon Vega 8 Graphics,2022-11-01,265795
AMD Radeon Vega 8 Graphics,2022-12-01,259279
AMD Radeon Vega 8 Graphics,2023-01-01,283589
AMD Radeon Vega 8 Graphics,2023-02-01,242450
