card,date,real_users
AMD Radeon Vega 8 Mobile Graphics,2020-02-01,29167
AMD Radeon Vega 8 Mobile Graphics,2020-03-01,34629
AMD Radeon Vega 8 Mobile Graphics,2020-04-01,45262
AMD Radeon Vega 8 Mobile Graphics,2020-05-01,42327
AMD Radeon Vega 8 Mobile Graphics,2020-06-01,38942
AMD Radeon Vega 8 Mobile Graphics,2020-07-01,35155
AMD Radeon Vega 8 Mobile Graphics,2020-08-01,34189
AMD Radeon Vega 8 Mobile Graphics,2020-09-01,36807
AMD Radeon Vega 8 Mobile Graphics,2020-10-01,36316
AMD Radeon Vega 8 Mobile Graphics,2020-11-01,34819
AMD Radeon Vega 8 Mobile Graphics,2021-01-01,36303
