card,date,real_users
ATI Mobility Radeon HD 4200,2012-03-01,49600
ATI Mobility Radeon HD 4200,2012-04-01,61833
ATI Mobility Radeon HD 4200,2012-05-01,61314
ATI Mobility Radeon HD 4200,2012-07-01,60193
ATI Mobility Radeon HD 4200,2012-08-01,51892
ATI Mobility Radeon HD 4200,2012-10-01,58644
ATI Mobility Radeon HD 4200,2012-12-01,55193
ATI Mobility Radeon HD 4200,2013-02-01,49840
ATI Mobility Radeon HD 4200,2013-03-01,42662
ATI Mobility Radeon HD 4200,2013-06-01,40337
ATI Mobility Radeon HD 4200,2013-07-01,41224
ATI Mobility Radeon HD 4200,2013-09-01,40454
ATI Mobility Radeon HD 4200,2013-12-01,44579
ATI Mobility Radeon HD 4200,2014-01-01,43446
ATI Mobility Radeon HD 4200,2014-04-01,31506
ATI Mobility Radeon HD 4200,2014-09-01,28192
ATI Mobility Radeon HD 4200,2014-10-01,24487
ATI Mobility Radeon HD 4200,2014-11-01,28844
ATI Mobility Radeon HD 4200,2014-12-01,28618
ATI Mobility Radeon HD 4200,2015-01-01,27940
ATI Mobility Radeon HD 4200,2015-05-01,21803
ATI Mobility Radeon HD 4200,2015-06-01,22695
ATI Mobility Radeon HD 4200,2015-09-01,21981
ATI Mobility Radeon HD 4200,2015-11-01,28295
ATI Mobility Radeon HD 4200,2016-01-01,23417
ATI Mobility Radeon HD 4200,2016-02-01,20133
ATI Mobility Radeon HD 4200,2016-03-01,19779
ATI Mobility Radeon HD 4200,2016-04-01,19224
ATI Mobility Radeon HD 4200,2016-05-01,19825
ATI Mobility Radeon HD 4200,2016-06-01,17697
ATI Mobility Radeon HD 4200,2016-07-01,18525
