card,date,real_users
ATI Radeon HD 6950,2011-06-01,21218
ATI Radeon HD 6950,2011-08-01,24263
ATI Radeon HD 6950,2012-02-01,56521
ATI Radeon HD 6950,2012-03-01,64963
ATI Radeon HD 6950,2012-04-01,71308
ATI Radeon HD 6950,2012-05-01,65764
ATI Radeon HD 6950,2012-07-01,56460
ATI Radeon HD 6950,2012-08-01,52320
ATI Radeon HD 6950,2012-10-01,67790
ATI Radeon HD 6950,2012-12-01,61883
ATI Radeon HD 6950,2013-02-01,65699
ATI Radeon HD 6950,2013-03-01,50246
ATI Radeon HD 6950,2013-06-01,51570
ATI Radeon HD 6950,2013-07-01,47408
ATI Radeon HD 6950,2013-09-01,52279
ATI Radeon HD 6950,2013-12-01,51769
ATI Radeon HD 6950,2014-01-01,52592
ATI Radeon HD 6950,2014-04-01,38437
