card,date,real_users
ATI Radeon X1950,2008-11-01,17478
ATI Radeon X1950,2009-01-01,20399
ATI Radeon X1950,2009-02-01,22110
ATI Radeon X1950,2009-03-01,22623
ATI Radeon X1950,2009-04-01,19941
ATI Radeon X1950,2009-05-01,17925
ATI Radeon X1950,2009-06-01,25310
ATI Radeon X1950,2009-07-01,18156
ATI Radeon X1950,2009-08-01,14438
ATI Radeon X1950,2009-09-01,15596
ATI Radeon X1950,2009-10-01,13093
ATI Radeon X1950,2009-11-01,14984
ATI Radeon X1950,2009-12-01,17942
ATI Radeon X1950,2010-01-01,16834
ATI Radeon X1950,2010-02-01,15961
ATI Radeon X1950,2010-03-01,16050
ATI Radeon X1950,2010-05-01,11835
ATI Radeon X1950,2010-06-01,11839
