card,date,real_users
ATI Radeon Xpress 200,2008-11-01,16854
ATI Radeon Xpress 200,2009-01-01,17999
ATI Radeon Xpress 200,2009-02-01,18198
ATI Radeon Xpress 200,2009-03-01,19156
ATI Radeon Xpress 200,2009-04-01,17270
ATI Radeon Xpress 200,2009-05-01,15502
ATI Radeon Xpress 200,2009-06-01,13920
ATI Radeon Xpress 200,2009-07-01,12776
ATI Radeon Xpress 200,2009-08-01,13817
ATI Radeon Xpress 200,2009-09-01,15070
ATI Radeon Xpress 200,2009-10-01,11989
ATI Radeon Xpress 200,2009-11-01,11459
ATI Radeon Xpress 200,2009-12-01,10554
ATI Radeon Xpress 200,2010-01-01,14189
