card,date,real_users
Intel(R) UHD Graphics,2021-03-01,150396
Intel(R) UHD Graphics,2021-04-01,146112
Intel(R) UHD Graphics,2021-05-01,160146
Intel(R) UHD Graphics,2021-06-01,178727
Intel(R) UHD Graphics,2021-07-01,205117
Intel(R) UHD Graphics,2021-08-01,189032
Intel(R) UHD Graphics,2021-09-01,220824
Intel(R) UHD Graphics,2021-10-01,250829
Intel(R) UHD Graphics,2021-11-01,268754
Intel(R) UHD Graphics,2021-12-01,267314
Intel(R) UHD Graphics,2022-01-01,305820
Intel(R) UHD Graphics,2022-02-01,296052
Intel(R) UHD Graphics,2022-03-01,307732
Intel(R) UHD Graphics,2022-04-01,320943
Intel(R) UHD Graphics,2022-05-01,306558
Intel(R) UHD Graphics,2022-06-01,323523
Intel(R) UHD Graphics,2022-07-01,228426
Intel(R) UHD Graphics,2022-08-01,342638
Intel(R) UHD Graphics,2022-09-01,325482
Intel(R) UHD Graphics,2022-10-01,356900
Intel(R) UHD Graphics,2022-11-01,393038
Intel(R) UHD Graphics,2022-12-01,409828
Intel(R) UHD Graphics,2023-01-01,459292
Intel(R) UHD Graphics,2023-02-01,424288
