card,date,real_users
Intel G41 Express,2012-05-01,26206
Intel G41 Express,2012-07-01,25664
Intel G41 Express,2012-08-01,22729
Intel G41 Express,2014-09-01,31011
Intel G41 Express,2014-10-01,27709
Intel G41 Express,2014-11-01,30362
Intel G41 Express,2014-12-01,31798
Intel G41 Express,2015-01-01,32173
Intel G41 Express,2015-05-01,31027
Intel G41 Express,2015-06-01,31424
Intel G41 Express,2015-09-01,32972
Intel G41 Express,2015-11-01,47159
Intel G41 Express,2016-01-01,40980
Intel G41 Express,2016-02-01,40267
Intel G41 Express,2016-03-01,36263
Intel G41 Express,2016-04-01,38449
Intel G41 Express,2016-05-01,42128
Intel G41 Express,2016-06-01,18803
