card,date,real_users
Intel HD Graphics,2012-03-01,86472
Intel HD Graphics,2012-04-01,115190
Intel HD Graphics,2012-05-01,114716
Intel HD Graphics,2012-07-01,112455
Intel HD Graphics,2012-08-01,97351
Intel HD Graphics,2012-10-01,118364
Intel HD Graphics,2012-12-01,119307
Intel HD Graphics,2013-02-01,108177
Intel HD Graphics,2013-03-01,93382
Intel HD Graphics,2013-06-01,89866
Intel HD Graphics,2018-11-01,21744
Intel HD Graphics,2018-12-01,27832
Intel HD Graphics,2019-01-01,28922
Intel HD Graphics,2019-02-01,26221
Intel HD Graphics,2019-03-01,27249
Intel HD Graphics,2019-04-01,23710
Intel HD Graphics,2019-05-01,27071
Intel HD Graphics,2019-07-01,23075
Intel HD Graphics,2019-08-01,23415
Intel HD Graphics,2019-09-01,25753
Intel HD Graphics,2019-10-01,21419
Intel HD Graphics,2019-11-01,22830
Intel HD Graphics,2020-03-01,30782
Intel HD Graphics,2020-04-01,38116
Intel HD Graphics,2020-05-01,39976
Intel HD Graphics,2020-06-01,32452
