card,date,real_users
Intel HD Graphics 4600,2014-04-01,34026
Intel HD Graphics 4600,2014-05-01,38932
Intel HD Graphics 4600,2014-06-01,47065
Intel HD Graphics 4600,2014-07-01,55822
Intel HD Graphics 4600,2014-08-01,55197
Intel HD Graphics 4600,2014-09-01,64842
Intel HD Graphics 4600,2014-10-01,61218
Intel HD Graphics 4600,2014-11-01,75148
Intel HD Graphics 4600,2014-12-01,85061
Intel HD Graphics 4600,2015-01-01,89747
Intel HD Graphics 4600,2015-05-01,104824
Intel HD Graphics 4600,2015-06-01,109984
Intel HD Graphics 4600,2015-09-01,111741
Intel HD Graphics 4600,2015-11-01,157648
Intel HD Graphics 4600,2016-01-01,127624
Intel HD Graphics 4600,2016-02-01,118566
Intel HD Graphics 4600,2016-03-01,115382
Intel HD Graphics 4600,2016-04-01,115347
Intel HD Graphics 4600,2016-05-01,126385
Intel HD Graphics 4600,2016-06-01,115032
Intel HD Graphics 4600,2016-07-01,115784
Intel HD Graphics 4600,2016-08-01,107131
Intel HD Graphics 4600,2016-10-01,132102
Intel HD Graphics 4600,2016-11-01,121851
Intel HD Graphics 4600,2016-12-01,116813
Intel HD Graphics 4600,2017-08-01,92869
Intel HD Graphics 4600,2017-10-01,75900
Intel HD Graphics 4600,2017-11-01,56829
Intel HD Graphics 4600,2017-12-01,54978
Intel HD Graphics 4600,2018-01-01,50694
Intel HD Graphics 4600,2018-02-01,48780
Intel HD Graphics 4600,2018-03-01,60412
Intel HD Graphics 4600,2018-04-01,92882
Intel HD Graphics 4600,2018-05-01,92592
Intel HD Graphics 4600,2018-06-01,89548
Intel HD Graphics 4600,2018-07-01,83427
Intel HD Graphics 4600,2018-08-01,80128
Intel HD Graphics 4600,2018-09-01,87510
Intel HD Graphics 4600,2018-10-01,71331
Intel HD Graphics 4600,2018-11-01,79730
Intel HD Graphics 4600,2018-12-01,90044
Intel HD Graphics 4600,2019-01-01,88373
Intel HD Graphics 4600,2019-02-01,81749
Intel HD Graphics 4600,2019-03-01,81749
Intel HD Graphics 4600,2019-04-01,72614
Intel HD Graphics 4600,2019-05-01,81214
Intel HD Graphics 4600,2019-06-01,75721
Intel HD Graphics 4600,2019-07-01,76918
Intel HD Graphics 4600,2019-08-01,71710
Intel HD Graphics 4600,2019-09-01,77260
Intel HD Graphics 4600,2019-10-01,65684
Intel HD Graphics 4600,2019-11-01,70012
Intel HD Graphics 4600,2019-12-01,77199
Intel HD Graphics 4600,2020-01-01,75878
Intel HD Graphics 4600,2020-02-01,85678
Intel HD Graphics 4600,2020-03-01,82726
Intel HD Graphics 4600,2020-04-01,111965
Intel HD Graphics 4600,2020-05-01,110522
Intel HD Graphics 4600,2020-06-01,97356
Intel HD Graphics 4600,2020-07-01,90990
Intel HD Graphics 4600,2020-08-01,83575
Intel HD Graphics 4600,2020-09-01,85883
Intel HD Graphics 4600,2020-10-01,89724
Intel HD Graphics 4600,2020-11-01,95174
Intel HD Graphics 4600,2020-12-01,80250
Intel HD Graphics 4600,2021-01-01,91968
Intel HD Graphics 4600,2021-02-01,93394
Intel HD Graphics 4600,2021-03-01,91767
Intel HD Graphics 4600,2021-04-01,88171
Intel HD Graphics 4600,2021-05-01,86232
Intel HD Graphics 4600,2021-06-01,84533
Intel HD Graphics 4600,2021-07-01,92791
Intel HD Graphics 4600,2021-08-01,81355
Intel HD Graphics 4600,2021-09-01,85480
Intel HD Graphics 4600,2021-10-01,87668
Intel HD Graphics 4600,2021-11-01,91275
Intel HD Graphics 4600,2021-12-01,94934
Intel HD Graphics 4600,2022-01-01,105455
Intel HD Graphics 4600,2022-02-01,98684
Intel HD Graphics 4600,2022-03-01,93657
Intel HD Graphics 4600,2022-04-01,103354
Intel HD Graphics 4600,2022-05-01,92811
Intel HD Graphics 4600,2022-06-01,97570
Intel HD Graphics 4600,2022-07-01,77933
Intel HD Graphics 4600,2022-08-01,92744
Intel HD Graphics 4600,2022-09-01,84574
Intel HD Graphics 4600,2022-10-01,84976
Intel HD Graphics 4600,2022-11-01,96138
Intel HD Graphics 4600,2022-12-01,97578
Intel HD Graphics 4600,2023-01-01,107887
Intel HD Graphics 4600,2023-02-01,89475
