card,date,real_users
Intel Iris Graphics 6100,2015-09-01,16486
Intel Iris Graphics 6100,2015-11-01,32338
Intel Iris Graphics 6100,2016-01-01,33955
Intel Iris Graphics 6100,2016-02-01,33556
Intel Iris Graphics 6100,2016-03-01,31867
Intel Iris Graphics 6100,2016-04-01,36187
Intel Iris Graphics 6100,2016-05-01,40889
Intel Iris Graphics 6100,2016-06-01,26545
Intel Iris Graphics 6100,2016-12-01,48870
Intel Iris Graphics 6100,2017-08-01,44577
Intel Iris Graphics 6100,2017-10-01,29068
Intel Iris Graphics 6100,2017-11-01,23928
Intel Iris Graphics 6100,2017-12-01,25133
Intel Iris Graphics 6100,2018-02-01,23603
Intel Iris Graphics 6100,2018-03-01,28616
Intel Iris Graphics 6100,2018-04-01,55041
Intel Iris Graphics 6100,2018-05-01,53606
Intel Iris Graphics 6100,2018-06-01,47862
Intel Iris Graphics 6100,2018-07-01,45803
Intel Iris Graphics 6100,2018-08-01,40767
Intel Iris Graphics 6100,2018-09-01,46141
Intel Iris Graphics 6100,2018-10-01,38519
Intel Iris Graphics 6100,2018-11-01,43489
Intel Iris Graphics 6100,2018-12-01,49115
Intel Iris Graphics 6100,2019-01-01,46597
Intel Iris Graphics 6100,2019-02-01,41645
Intel Iris Graphics 6100,2019-03-01,42388
Intel Iris Graphics 6100,2019-04-01,40011
Intel Iris Graphics 6100,2019-05-01,44588
Intel Iris Graphics 6100,2019-06-01,37055
Intel Iris Graphics 6100,2019-07-01,36920
Intel Iris Graphics 6100,2019-08-01,33660
Intel Iris Graphics 6100,2019-09-01,37020
Intel Iris Graphics 6100,2019-10-01,31414
Intel Iris Graphics 6100,2019-11-01,31962
Intel Iris Graphics 6100,2019-12-01,37741
Intel Iris Graphics 6100,2020-01-01,33723
Intel Iris Graphics 6100,2020-02-01,40104
Intel Iris Graphics 6100,2020-03-01,50020
Intel Iris Graphics 6100,2020-04-01,66703
Intel Iris Graphics 6100,2020-05-01,63491
Intel Iris Graphics 6100,2020-06-01,47596
Intel Iris Graphics 6100,2020-07-01,39291
Intel Iris Graphics 6100,2020-08-01,37988
Intel Iris Graphics 6100,2020-09-01,38852
Intel Iris Graphics 6100,2020-10-01,40589
Intel Iris Graphics 6100,2020-11-01,41783
Intel Iris Graphics 6100,2021-01-01,41143
Intel Iris Graphics 6100,2021-02-01,36866
