card,date,real_users
Intel Iris Pro Graphics 5200,2014-09-01,15505
Intel Iris Pro Graphics 5200,2014-10-01,14177
Intel Iris Pro Graphics 5200,2014-11-01,18217
Intel Iris Pro Graphics 5200,2014-12-01,19874
Intel Iris Pro Graphics 5200,2015-01-01,22013
Intel Iris Pro Graphics 5200,2015-05-01,23480
Intel Iris Pro Graphics 5200,2015-06-01,25313
Intel Iris Pro Graphics 5200,2015-09-01,29309
Intel Iris Pro Graphics 5200,2015-11-01,49854
Intel Iris Pro Graphics 5200,2016-01-01,44492
Intel Iris Pro Graphics 5200,2016-02-01,39149
Intel Iris Pro Graphics 5200,2016-03-01,39559
Intel Iris Pro Graphics 5200,2016-04-01,41841
Intel Iris Pro Graphics 5200,2016-05-01,47084
Intel Iris Pro Graphics 5200,2016-06-01,30970
Intel Iris Pro Graphics 5200,2018-09-01,42959
Intel Iris Pro Graphics 5200,2018-10-01,35665
Intel Iris Pro Graphics 5200,2018-11-01,40590
Intel Iris Pro Graphics 5200,2018-12-01,47478
Intel Iris Pro Graphics 5200,2019-01-01,43383
Intel Iris Pro Graphics 5200,2019-02-01,38560
Intel Iris Pro Graphics 5200,2019-03-01,39360
Intel Iris Pro Graphics 5200,2019-04-01,35566
Intel Iris Pro Graphics 5200,2019-05-01,38218
Intel Iris Pro Graphics 5200,2019-06-01,33833
Intel Iris Pro Graphics 5200,2019-07-01,33844
Intel Iris Pro Graphics 5200,2019-08-01,30733
Intel Iris Pro Graphics 5200,2019-09-01,32191
Intel Iris Pro Graphics 5200,2019-10-01,28558
Intel Iris Pro Graphics 5200,2019-11-01,28918
Intel Iris Pro Graphics 5200,2019-12-01,36026
Intel Iris Pro Graphics 5200,2020-01-01,33723
Intel Iris Pro Graphics 5200,2020-02-01,36458
Intel Iris Pro Graphics 5200,2020-03-01,46173
Intel Iris Pro Graphics 5200,2020-04-01,59556
Intel Iris Pro Graphics 5200,2020-05-01,58788
Intel Iris Pro Graphics 5200,2020-06-01,45432
Intel Iris Pro Graphics 5200,2020-07-01,39291
Intel Iris Pro Graphics 5200,2020-08-01,36089
Intel Iris Pro Graphics 5200,2020-09-01,36807
Intel Iris Pro Graphics 5200,2020-10-01,38453
Intel Iris Pro Graphics 5200,2020-11-01,41783
Intel Iris Pro Graphics 5200,2021-01-01,41143
Intel Iris Pro Graphics 5200,2021-02-01,36866
