card,date,real_users
Mobile Intel 965 Express,2008-11-01,17978
Mobile Intel 965 Express,2009-01-01,18599
Mobile Intel 965 Express,2009-02-01,19899
Mobile Intel 965 Express,2009-03-01,23535
Mobile Intel 965 Express,2009-04-01,23680
Mobile Intel 965 Express,2009-05-01,20185
Mobile Intel 965 Express,2009-06-01,16632
Mobile Intel 965 Express,2009-07-01,14289
Mobile Intel 965 Express,2009-08-01,20182
Mobile Intel 965 Express,2009-09-01,22605
Mobile Intel 965 Express,2009-10-01,19246
Mobile Intel 965 Express,2009-11-01,19039
Mobile Intel 965 Express,2009-12-01,17308
Mobile Intel 965 Express,2010-01-01,24530
Mobile Intel 965 Express,2010-02-01,22837
Mobile Intel 965 Express,2010-03-01,21799
Mobile Intel 965 Express,2010-05-01,33719
Mobile Intel 965 Express,2010-06-01,21784
Mobile Intel 965 Express,2010-07-01,19868
Mobile Intel 965 Express,2010-08-01,22662
Mobile Intel 965 Express,2010-11-01,20162
Mobile Intel 965 Express,2011-01-01,23572
Mobile Intel 965 Express,2011-06-01,17277
Mobile Intel 965 Express,2011-08-01,18637
Mobile Intel 965 Express,2011-10-01,28467
Mobile Intel 965 Express,2011-11-01,30540
Mobile Intel 965 Express,2011-12-01,33430
Mobile Intel 965 Express,2012-04-01,27426
Mobile Intel 965 Express,2012-05-01,27690
Mobile Intel 965 Express,2012-07-01,27063
Mobile Intel 965 Express,2012-08-01,21871
Mobile Intel 965 Express,2014-09-01,15505
Mobile Intel 965 Express,2014-10-01,14177
Mobile Intel 965 Express,2014-11-01,15940
Mobile Intel 965 Express,2014-12-01,16694
Mobile Intel 965 Express,2015-01-01,16933
Mobile Intel 965 Express,2015-05-01,13417
Mobile Intel 965 Express,2015-06-01,14839
Mobile Intel 965 Express,2015-09-01,13738
