card,date,real_users
NVIDIA GeForce 7600,2008-11-01,50313
NVIDIA GeForce 7600,2009-01-01,56098
NVIDIA GeForce 7600,2009-02-01,59018
NVIDIA GeForce 7600,2009-03-01,60024
NVIDIA GeForce 7600,2009-04-01,55016
NVIDIA GeForce 7600,2009-05-01,48768
NVIDIA GeForce 7600,2009-06-01,54960
NVIDIA GeForce 7600,2009-07-01,41523
NVIDIA GeForce 7600,2009-08-01,36329
NVIDIA GeForce 7600,2009-09-01,37500
NVIDIA GeForce 7600,2009-10-01,32971
NVIDIA GeForce 7600,2009-11-01,33495
NVIDIA GeForce 7600,2009-12-01,38839
NVIDIA GeForce 7600,2010-01-01,42808
NVIDIA GeForce 7600,2010-02-01,38307
NVIDIA GeForce 7600,2010-03-01,35215
NVIDIA GeForce 7600,2010-05-01,27466
NVIDIA GeForce 7600,2010-06-01,27940
NVIDIA GeForce 7600,2010-07-01,25945
NVIDIA GeForce 7600,2010-08-01,24743
NVIDIA GeForce 7600,2010-11-01,24706
NVIDIA GeForce 7600,2011-01-01,25187
NVIDIA GeForce 7600,2011-04-01,18019
NVIDIA GeForce 7600,2011-06-01,15458
NVIDIA GeForce 7600,2011-10-01,36437
NVIDIA GeForce 7600,2011-11-01,37422
NVIDIA GeForce 7600,2011-12-01,35969
