card,date,real_users
NVIDIA GeForce GTX 650 Ti,2013-06-01,30125
NVIDIA GeForce GTX 650 Ti,2013-07-01,32464
NVIDIA GeForce GTX 650 Ti,2013-09-01,46055
NVIDIA GeForce GTX 650 Ti,2013-12-01,62554
NVIDIA GeForce GTX 650 Ti,2014-01-01,71648
NVIDIA GeForce GTX 650 Ti,2014-04-01,61122
NVIDIA GeForce GTX 650 Ti,2014-05-01,62166
NVIDIA GeForce GTX 650 Ti,2014-06-01,66735
NVIDIA GeForce GTX 650 Ti,2014-07-01,67988
NVIDIA GeForce GTX 650 Ti,2014-08-01,57100
NVIDIA GeForce GTX 650 Ti,2014-09-01,64842
NVIDIA GeForce GTX 650 Ti,2014-10-01,59285
NVIDIA GeForce GTX 650 Ti,2014-11-01,68316
NVIDIA GeForce GTX 650 Ti,2014-12-01,69162
NVIDIA GeForce GTX 650 Ti,2015-01-01,70274
NVIDIA GeForce GTX 650 Ti,2015-05-01,64571
NVIDIA GeForce GTX 650 Ti,2015-06-01,65466
NVIDIA GeForce GTX 650 Ti,2015-09-01,63198
NVIDIA GeForce GTX 650 Ti,2015-11-01,92972
NVIDIA GeForce GTX 650 Ti,2016-01-01,73764
NVIDIA GeForce GTX 650 Ti,2016-02-01,69350
NVIDIA GeForce GTX 650 Ti,2016-03-01,69229
NVIDIA GeForce GTX 650 Ti,2016-04-01,70113
NVIDIA GeForce GTX 650 Ti,2016-05-01,73105
NVIDIA GeForce GTX 650 Ti,2016-06-01,64152
NVIDIA GeForce GTX 650 Ti,2016-07-01,63681
NVIDIA GeForce GTX 650 Ti,2016-08-01,61849
NVIDIA GeForce GTX 650 Ti,2016-10-01,64233
NVIDIA GeForce GTX 650 Ti,2016-11-01,60334
NVIDIA GeForce GTX 650 Ti,2016-12-01,60790
NVIDIA GeForce GTX 650 Ti,2017-08-01,60674
NVIDIA GeForce GTX 650 Ti,2017-10-01,74285
NVIDIA GeForce GTX 650 Ti,2017-11-01,61315
NVIDIA GeForce GTX 650 Ti,2017-12-01,54978
NVIDIA GeForce GTX 650 Ti,2018-01-01,54074
NVIDIA GeForce GTX 650 Ti,2018-02-01,56647
NVIDIA GeForce GTX 650 Ti,2018-03-01,50873
NVIDIA GeForce GTX 650 Ti,2018-04-01,55041
NVIDIA GeForce GTX 650 Ti,2018-05-01,47108
NVIDIA GeForce GTX 650 Ti,2018-06-01,46318
NVIDIA GeForce GTX 650 Ti,2018-07-01,47439
NVIDIA GeForce GTX 650 Ti,2018-08-01,39361
NVIDIA GeForce GTX 650 Ti,2018-09-01,44550
NVIDIA GeForce GTX 650 Ti,2018-10-01,35665
NVIDIA GeForce GTX 650 Ti,2018-11-01,39140
NVIDIA GeForce GTX 650 Ti,2018-12-01,40929
NVIDIA GeForce GTX 650 Ti,2019-01-01,41776
NVIDIA GeForce GTX 650 Ti,2019-02-01,41645
NVIDIA GeForce GTX 650 Ti,2019-03-01,37846
NVIDIA GeForce GTX 650 Ti,2019-04-01,34084
NVIDIA GeForce GTX 650 Ti,2019-05-01,36626
NVIDIA GeForce GTX 650 Ti,2019-06-01,33833
NVIDIA GeForce GTX 650 Ti,2019-07-01,33844
NVIDIA GeForce GTX 650 Ti,2019-08-01,30733
NVIDIA GeForce GTX 650 Ti,2019-09-01,33801
NVIDIA GeForce GTX 650 Ti,2019-10-01,27130
NVIDIA GeForce GTX 650 Ti,2019-11-01,30440
NVIDIA GeForce GTX 650 Ti,2019-12-01,30879
NVIDIA GeForce GTX 650 Ti,2020-01-01,35410
NVIDIA GeForce GTX 650 Ti,2020-02-01,34635
NVIDIA GeForce GTX 650 Ti,2020-03-01,28858
NVIDIA GeForce GTX 650 Ti,2020-04-01,35733
