card,date,real_users
NVIDIA GeForce GTX 650 Ti Boost,2014-09-01,19734
NVIDIA GeForce GTX 650 Ti Boost,2014-10-01,17399
NVIDIA GeForce GTX 650 Ti Boost,2014-11-01,20495
NVIDIA GeForce GTX 650 Ti Boost,2014-12-01,19874
NVIDIA GeForce GTX 650 Ti Boost,2015-01-01,20320
NVIDIA GeForce GTX 650 Ti Boost,2015-05-01,19287
NVIDIA GeForce GTX 650 Ti Boost,2015-06-01,18330
NVIDIA GeForce GTX 650 Ti Boost,2015-09-01,17402
NVIDIA GeForce GTX 650 Ti Boost,2015-11-01,25601
NVIDIA GeForce GTX 650 Ti Boost,2016-01-01,19904
NVIDIA GeForce GTX 650 Ti Boost,2016-02-01,17896
NVIDIA GeForce GTX 650 Ti Boost,2016-03-01,18681
NVIDIA GeForce GTX 650 Ti Boost,2016-04-01,18093
NVIDIA GeForce GTX 650 Ti Boost,2016-05-01,18586
NVIDIA GeForce GTX 650 Ti Boost,2016-06-01,16591
NVIDIA GeForce GTX 650 Ti Boost,2016-07-01,17367
