card,date,real_users
NVIDIA GeForce GTX 765M,2014-09-01,26077
NVIDIA GeForce GTX 765M,2014-10-01,23198
NVIDIA GeForce GTX 765M,2014-11-01,27326
NVIDIA GeForce GTX 765M,2014-12-01,27028
NVIDIA GeForce GTX 765M,2015-01-01,27940
NVIDIA GeForce GTX 765M,2015-05-01,24319
NVIDIA GeForce GTX 765M,2015-06-01,25313
NVIDIA GeForce GTX 765M,2015-09-01,24729
NVIDIA GeForce GTX 765M,2015-11-01,36380
NVIDIA GeForce GTX 765M,2016-01-01,28100
NVIDIA GeForce GTX 765M,2016-02-01,24608
NVIDIA GeForce GTX 765M,2016-03-01,25274
NVIDIA GeForce GTX 765M,2016-04-01,26009
NVIDIA GeForce GTX 765M,2016-05-01,26020
NVIDIA GeForce GTX 765M,2016-06-01,23227
NVIDIA GeForce GTX 765M,2016-07-01,23156
NVIDIA GeForce GTX 765M,2016-08-01,22088
NVIDIA GeForce GTX 765M,2016-10-01,19391
NVIDIA GeForce GTX 765M,2016-11-01,21294
NVIDIA GeForce GTX 765M,2016-12-01,19071
