card,date,real_users
NVIDIA GeForce GTX 980,2014-11-01,13663
NVIDIA GeForce GTX 980,2014-12-01,21464
NVIDIA GeForce GTX 980,2015-01-01,31326
NVIDIA GeForce GTX 980,2015-05-01,55347
NVIDIA GeForce GTX 980,2015-06-01,62848
NVIDIA GeForce GTX 980,2015-09-01,74188
NVIDIA GeForce GTX 980,2015-11-01,119920
NVIDIA GeForce GTX 980,2016-01-01,103036
NVIDIA GeForce GTX 980,2016-02-01,102906
NVIDIA GeForce GTX 980,2016-03-01,109888
NVIDIA GeForce GTX 980,2016-04-01,111954
NVIDIA GeForce GTX 980,2016-05-01,123907
NVIDIA GeForce GTX 980,2016-06-01,111714
NVIDIA GeForce GTX 980,2016-07-01,113468
NVIDIA GeForce GTX 980,2016-08-01,107131
NVIDIA GeForce GTX 980,2016-10-01,113923
NVIDIA GeForce GTX 980,2016-11-01,107655
NVIDIA GeForce GTX 980,2016-12-01,106085
NVIDIA GeForce GTX 980,2017-08-01,92869
NVIDIA GeForce GTX 980,2017-10-01,59751
NVIDIA GeForce GTX 980,2017-11-01,43369
NVIDIA GeForce GTX 980,2017-12-01,47124
NVIDIA GeForce GTX 980,2018-01-01,43935
NVIDIA GeForce GTX 980,2018-02-01,44059
NVIDIA GeForce GTX 980,2018-03-01,66771
NVIDIA GeForce GTX 980,2018-04-01,104923
NVIDIA GeForce GTX 980,2018-05-01,103964
NVIDIA GeForce GTX 980,2018-06-01,94180
NVIDIA GeForce GTX 980,2018-07-01,91606
NVIDIA GeForce GTX 980,2018-08-01,88563
NVIDIA GeForce GTX 980,2018-09-01,95465
NVIDIA GeForce GTX 980,2018-10-01,78464
NVIDIA GeForce GTX 980,2018-11-01,86979
NVIDIA GeForce GTX 980,2018-12-01,91681
NVIDIA GeForce GTX 980,2019-01-01,89980
NVIDIA GeForce GTX 980,2019-02-01,80206
NVIDIA GeForce GTX 980,2019-03-01,80235
NVIDIA GeForce GTX 980,2019-04-01,75578
NVIDIA GeForce GTX 980,2019-05-01,81214
NVIDIA GeForce GTX 980,2019-06-01,85388
NVIDIA GeForce GTX 980,2019-07-01,73841
NVIDIA GeForce GTX 980,2019-08-01,74637
NVIDIA GeForce GTX 980,2019-09-01,78870
NVIDIA GeForce GTX 980,2019-10-01,67112
NVIDIA GeForce GTX 980,2019-11-01,68490
NVIDIA GeForce GTX 980,2019-12-01,77199
NVIDIA GeForce GTX 980,2020-01-01,80937
NVIDIA GeForce GTX 980,2020-02-01,76563
NVIDIA GeForce GTX 980,2020-03-01,76955
NVIDIA GeForce GTX 980,2020-04-01,97672
NVIDIA GeForce GTX 980,2020-05-01,94061
NVIDIA GeForce GTX 980,2020-06-01,84375
NVIDIA GeForce GTX 980,2020-07-01,80650
NVIDIA GeForce GTX 980,2020-08-01,70279
NVIDIA GeForce GTX 980,2020-09-01,77704
NVIDIA GeForce GTX 980,2020-10-01,76906
NVIDIA GeForce GTX 980,2020-11-01,78924
NVIDIA GeForce GTX 980,2020-12-01,68449
NVIDIA GeForce GTX 980,2021-01-01,77447
NVIDIA GeForce GTX 980,2021-02-01,78648
NVIDIA GeForce GTX 980,2021-03-01,81570
NVIDIA GeForce GTX 980,2021-04-01,75575
NVIDIA GeForce GTX 980,2021-05-01,76377
NVIDIA GeForce GTX 980,2021-06-01,62796
NVIDIA GeForce GTX 980,2021-07-01,61046
NVIDIA GeForce GTX 980,2021-08-01,52641
NVIDIA GeForce GTX 980,2021-09-01,56987
NVIDIA GeForce GTX 980,2021-10-01,60881
NVIDIA GeForce GTX 980,2021-11-01,60850
NVIDIA GeForce GTX 980,2021-12-01,57460
NVIDIA GeForce GTX 980,2022-01-01,55363
NVIDIA GeForce GTX 980,2022-02-01,56010
NVIDIA GeForce GTX 980,2022-03-01,56194
NVIDIA GeForce GTX 980,2022-04-01,54397
NVIDIA GeForce GTX 980,2022-05-01,61874
NVIDIA GeForce GTX 980,2022-06-01,48785
NVIDIA GeForce GTX 980,2022-07-01,56434
NVIDIA GeForce GTX 980,2022-08-01,46372
NVIDIA GeForce GTX 980,2022-09-01,41005
NVIDIA GeForce GTX 980,2022-11-01,45241
NVIDIA GeForce GTX 980,2022-12-01,41819
