card,date,real_users
NVIDIA GeForce GT 330M,2010-06-01,12075
NVIDIA GeForce GT 330M,2010-07-01,14258
NVIDIA GeForce GT 330M,2010-08-01,15956
NVIDIA GeForce GT 330M,2010-11-01,21582
NVIDIA GeForce GT 330M,2011-01-01,25833
NVIDIA GeForce GT 330M,2011-04-01,20383
NVIDIA GeForce GT 330M,2011-06-01,23643
NVIDIA GeForce GT 330M,2011-08-01,31296
NVIDIA GeForce GT 330M,2011-10-01,29226
NVIDIA GeForce GT 330M,2011-11-01,32690
NVIDIA GeForce GT 330M,2011-12-01,34277
NVIDIA GeForce GT 330M,2012-02-01,40625
NVIDIA GeForce GT 330M,2012-03-01,28531
NVIDIA GeForce GT 330M,2012-04-01,32911
NVIDIA GeForce GT 330M,2012-05-01,32140
NVIDIA GeForce GT 330M,2012-07-01,31263
NVIDIA GeForce GT 330M,2012-08-01,24873
NVIDIA GeForce GT 330M,2012-10-01,27977
NVIDIA GeForce GT 330M,2014-09-01,14800
NVIDIA GeForce GT 330M,2014-10-01,13532
NVIDIA GeForce GT 330M,2014-11-01,15940
NVIDIA GeForce GT 330M,2014-12-01,14309
NVIDIA GeForce GT 330M,2015-01-01,16086
NVIDIA GeForce GT 330M,2015-05-01,12578
