card,date,real_users
NVIDIA GeForce GT 730,2014-12-01,12719
NVIDIA GeForce GT 730,2015-01-01,18626
NVIDIA GeForce GT 730,2015-05-01,38575
NVIDIA GeForce GT 730,2015-06-01,41898
NVIDIA GeForce GT 730,2015-09-01,67777
NVIDIA GeForce GT 730,2015-11-01,105099
NVIDIA GeForce GT 730,2016-01-01,121770
NVIDIA GeForce GT 730,2016-02-01,121921
NVIDIA GeForce GT 730,2016-03-01,124173
NVIDIA GeForce GT 730,2016-04-01,128917
NVIDIA GeForce GT 730,2016-05-01,163557
NVIDIA GeForce GT 730,2016-06-01,140472
NVIDIA GeForce GT 730,2016-07-01,151677
NVIDIA GeForce GT 730,2016-08-01,149100
NVIDIA GeForce GT 730,2016-10-01,170885
NVIDIA GeForce GT 730,2016-11-01,160891
NVIDIA GeForce GT 730,2016-12-01,179988
NVIDIA GeForce GT 730,2017-08-01,193169
NVIDIA GeForce GT 730,2017-10-01,158261
NVIDIA GeForce GT 730,2017-11-01,115153
NVIDIA GeForce GT 730,2017-12-01,127236
NVIDIA GeForce GT 730,2018-01-01,121667
NVIDIA GeForce GT 730,2018-02-01,132178
NVIDIA GeForce GT 730,2018-03-01,146260
NVIDIA GeForce GT 730,2018-04-01,211566
NVIDIA GeForce GT 730,2018-05-01,196557
NVIDIA GeForce GT 730,2018-06-01,188361
NVIDIA GeForce GT 730,2018-07-01,222473
NVIDIA GeForce GT 730,2018-08-01,158851
NVIDIA GeForce GT 730,2018-09-01,197295
NVIDIA GeForce GT 730,2018-10-01,175475
NVIDIA GeForce GT 730,2018-11-01,162361
NVIDIA GeForce GT 730,2018-12-01,188275
NVIDIA GeForce GT 730,2019-01-01,184781
NVIDIA GeForce GT 730,2019-02-01,163498
NVIDIA GeForce GT 730,2019-03-01,160471
NVIDIA GeForce GT 730,2019-04-01,168939
NVIDIA GeForce GT 730,2019-05-01,156059
NVIDIA GeForce GT 730,2019-06-01,149832
NVIDIA GeForce GT 730,2019-07-01,178451
NVIDIA GeForce GT 730,2019-08-01,136103
NVIDIA GeForce GT 730,2019-09-01,154520
NVIDIA GeForce GT 730,2019-10-01,141365
NVIDIA GeForce GT 730,2019-11-01,124805
NVIDIA GeForce GT 730,2019-12-01,132096
NVIDIA GeForce GT 730,2020-01-01,133209
NVIDIA GeForce GT 730,2020-02-01,151304
NVIDIA GeForce GT 730,2020-03-01,126976
NVIDIA GeForce GT 730,2020-04-01,152464
NVIDIA GeForce GT 730,2020-05-01,145795
NVIDIA GeForce GT 730,2020-06-01,134135
NVIDIA GeForce GT 730,2020-07-01,132349
NVIDIA GeForce GT 730,2020-08-01,113966
NVIDIA GeForce GT 730,2020-09-01,114511
NVIDIA GeForce GT 730,2020-10-01,119632
NVIDIA GeForce GT 730,2020-11-01,125351
NVIDIA GeForce GT 730,2020-12-01,106214
NVIDIA GeForce GT 730,2021-01-01,116170
NVIDIA GeForce GT 730,2021-02-01,115514
NVIDIA GeForce GT 730,2021-03-01,117258
NVIDIA GeForce GT 730,2021-04-01,118401
NVIDIA GeForce GT 730,2021-05-01,115798
NVIDIA GeForce GT 730,2021-06-01,118346
NVIDIA GeForce GT 730,2021-07-01,131861
NVIDIA GeForce GT 730,2021-08-01,117247
NVIDIA GeForce GT 730,2021-09-01,123471
NVIDIA GeForce GT 730,2021-10-01,126632
NVIDIA GeForce GT 730,2021-11-01,124235
NVIDIA GeForce GT 730,2021-12-01,122415
NVIDIA GeForce GT 730,2022-01-01,142364
NVIDIA GeForce GT 730,2022-02-01,136024
NVIDIA GeForce GT 730,2022-03-01,131120
NVIDIA GeForce GT 730,2022-04-01,141432
NVIDIA GeForce GT 730,2022-05-01,137810
NVIDIA GeForce GT 730,2022-06-01,133517
NVIDIA GeForce GT 730,2022-07-01,134368
NVIDIA GeForce GT 730,2022-08-01,126235
NVIDIA GeForce GT 730,2022-09-01,117891
NVIDIA GeForce GT 730,2022-10-01,113301
NVIDIA GeForce GT 730,2022-11-01,130070
NVIDIA GeForce GT 730,2022-12-01,128245
NVIDIA GeForce GT 730,2023-01-01,147959
NVIDIA GeForce GT 730,2023-02-01,115452
