card,date,real_users
NVIDIA GeForce MX130,2019-07-01,23075
NVIDIA GeForce MX130,2019-08-01,23415
NVIDIA GeForce MX130,2019-09-01,28972
NVIDIA GeForce MX130,2019-10-01,27130
NVIDIA GeForce MX130,2019-11-01,28918
NVIDIA GeForce MX130,2019-12-01,34310
NVIDIA GeForce MX130,2020-01-01,37096
NVIDIA GeForce MX130,2020-02-01,41927
NVIDIA GeForce MX130,2020-03-01,48096
NVIDIA GeForce MX130,2020-04-01,66703
NVIDIA GeForce MX130,2020-05-01,68194
NVIDIA GeForce MX130,2020-06-01,58413
NVIDIA GeForce MX130,2020-07-01,53767
NVIDIA GeForce MX130,2020-08-01,49385
NVIDIA GeForce MX130,2020-09-01,53166
NVIDIA GeForce MX130,2020-10-01,55543
NVIDIA GeForce MX130,2020-11-01,60354
NVIDIA GeForce MX130,2020-12-01,51926
NVIDIA GeForce MX130,2021-01-01,62925
NVIDIA GeForce MX130,2021-02-01,63901
NVIDIA GeForce MX130,2021-03-01,63727
NVIDIA GeForce MX130,2021-04-01,62979
NVIDIA GeForce MX130,2021-05-01,61594
NVIDIA GeForce MX130,2021-06-01,57965
NVIDIA GeForce MX130,2021-07-01,58605
NVIDIA GeForce MX130,2021-08-01,52641
NVIDIA GeForce MX130,2021-09-01,54612
NVIDIA GeForce MX130,2021-10-01,56010
NVIDIA GeForce MX130,2021-11-01,55779
NVIDIA GeForce MX130,2021-12-01,52463
NVIDIA GeForce MX130,2022-01-01,60636
NVIDIA GeForce MX130,2022-02-01,56010
NVIDIA GeForce MX130,2022-03-01,53518
NVIDIA GeForce MX130,2022-04-01,54397
NVIDIA GeForce MX130,2022-05-01,56249
NVIDIA GeForce MX130,2022-06-01,51352
NVIDIA GeForce MX130,2022-07-01,48372
NVIDIA GeForce MX130,2022-08-01,46372
NVIDIA GeForce MX130,2022-09-01,43568
NVIDIA GeForce MX130,2022-10-01,42488
NVIDIA GeForce MX130,2022-11-01,48069
NVIDIA GeForce MX130,2022-12-01,50183
NVIDIA GeForce MX130,2023-01-01,52402
NVIDIA GeForce MX130,2023-02-01,46181
