card,date,real_users
NVIDIA GeForce RTX 2070,2018-12-01,26194
NVIDIA GeForce RTX 2070,2019-01-01,51417
NVIDIA GeForce RTX 2070,2019-02-01,74037
NVIDIA GeForce RTX 2070,2019-03-01,95374
NVIDIA GeForce RTX 2070,2019-04-01,120035
NVIDIA GeForce RTX 2070,2019-05-01,144912
NVIDIA GeForce RTX 2070,2019-06-01,170776
NVIDIA GeForce RTX 2070,2019-07-01,178451
NVIDIA GeForce RTX 2070,2019-08-01,196106
NVIDIA GeForce RTX 2070,2019-09-01,233390
NVIDIA GeForce RTX 2070,2019-10-01,201338
NVIDIA GeForce RTX 2070,2019-11-01,243522
NVIDIA GeForce RTX 2070,2019-12-01,296788
NVIDIA GeForce RTX 2070,2020-01-01,283280
NVIDIA GeForce RTX 2070,2020-02-01,293493
NVIDIA GeForce RTX 2070,2020-03-01,369384
NVIDIA GeForce RTX 2070,2020-04-01,407365
NVIDIA GeForce RTX 2070,2020-05-01,404464
NVIDIA GeForce RTX 2070,2020-06-01,382935
NVIDIA GeForce RTX 2070,2020-07-01,376369
NVIDIA GeForce RTX 2070,2020-08-01,358993
NVIDIA GeForce RTX 2070,2020-09-01,388521
NVIDIA GeForce RTX 2070,2020-10-01,382396
NVIDIA GeForce RTX 2070,2020-11-01,431765
NVIDIA GeForce RTX 2070,2020-12-01,698652
NVIDIA GeForce RTX 2070,2021-01-01,418699
NVIDIA GeForce RTX 2070,2021-02-01,430107
NVIDIA GeForce RTX 2070,2021-03-01,443541
NVIDIA GeForce RTX 2070,2021-04-01,428261
NVIDIA GeForce RTX 2070,2021-05-01,416381
NVIDIA GeForce RTX 2070,2021-06-01,456478
NVIDIA GeForce RTX 2070,2021-07-01,410235
NVIDIA GeForce RTX 2070,2021-08-01,495312
NVIDIA GeForce RTX 2070,2021-09-01,377539
NVIDIA GeForce RTX 2070,2021-10-01,367721
NVIDIA GeForce RTX 2070,2021-11-01,380312
NVIDIA GeForce RTX 2070,2021-12-01,399722
NVIDIA GeForce RTX 2070,2022-01-01,369093
NVIDIA GeForce RTX 2070,2022-02-01,376067
NVIDIA GeForce RTX 2070,2022-03-01,401390
NVIDIA GeForce RTX 2070,2022-04-01,356301
NVIDIA GeForce RTX 2070,2022-05-01,379682
NVIDIA GeForce RTX 2070,2022-06-01,328659
NVIDIA GeForce RTX 2070,2022-07-01,370857
NVIDIA GeForce RTX 2070,2022-08-01,324605
NVIDIA GeForce RTX 2070,2022-09-01,312668
NVIDIA GeForce RTX 2070,2022-10-01,410718
NVIDIA GeForce RTX 2070,2022-11-01,311037
NVIDIA GeForce RTX 2070,2022-12-01,323401
NVIDIA GeForce RTX 2070,2023-01-01,323662
NVIDIA GeForce RTX 2070,2023-02-01,320380
