card,date,real_users
NVIDIA GeForce RTX 2070 SUPER,2019-09-01,27363
NVIDIA GeForce RTX 2070 SUPER,2019-10-01,35698
NVIDIA GeForce RTX 2070 SUPER,2019-11-01,63924
NVIDIA GeForce RTX 2070 SUPER,2019-12-01,99501
NVIDIA GeForce RTX 2070 SUPER,2020-01-01,129836
NVIDIA GeForce RTX 2070 SUPER,2020-02-01,162241
NVIDIA GeForce RTX 2070 SUPER,2020-03-01,223170
NVIDIA GeForce RTX 2070 SUPER,2020-04-01,283488
NVIDIA GeForce RTX 2070 SUPER,2020-05-01,315106
NVIDIA GeForce RTX 2070 SUPER,2020-06-01,333175
NVIDIA GeForce RTX 2070 SUPER,2020-07-01,366029
NVIDIA GeForce RTX 2070 SUPER,2020-08-01,374189
NVIDIA GeForce RTX 2070 SUPER,2020-09-01,437598
NVIDIA GeForce RTX 2070 SUPER,2020-10-01,448621
NVIDIA GeForce RTX 2070 SUPER,2020-11-01,510690
NVIDIA GeForce RTX 2070 SUPER,2020-12-01,660887
NVIDIA GeForce RTX 2070 SUPER,2021-01-01,537290
NVIDIA GeForce RTX 2070 SUPER,2021-02-01,555452
NVIDIA GeForce RTX 2070 SUPER,2021-03-01,604133
NVIDIA GeForce RTX 2070 SUPER,2021-04-01,597046
NVIDIA GeForce RTX 2070 SUPER,2021-05-01,581455
NVIDIA GeForce RTX 2070 SUPER,2021-06-01,548257
NVIDIA GeForce RTX 2070 SUPER,2021-07-01,515235
NVIDIA GeForce RTX 2070 SUPER,2021-08-01,502491
NVIDIA GeForce RTX 2070 SUPER,2021-09-01,484389
NVIDIA GeForce RTX 2070 SUPER,2021-10-01,489483
NVIDIA GeForce RTX 2070 SUPER,2021-11-01,514689
NVIDIA GeForce RTX 2070 SUPER,2021-12-01,512145
NVIDIA GeForce RTX 2070 SUPER,2022-01-01,482457
NVIDIA GeForce RTX 2070 SUPER,2022-02-01,485420
NVIDIA GeForce RTX 2070 SUPER,2022-03-01,513779
NVIDIA GeForce RTX 2070 SUPER,2022-04-01,486854
NVIDIA GeForce RTX 2070 SUPER,2022-05-01,545618
NVIDIA GeForce RTX 2070 SUPER,2022-06-01,436500
NVIDIA GeForce RTX 2070 SUPER,2022-07-01,524038
NVIDIA GeForce RTX 2070 SUPER,2022-08-01,443111
NVIDIA GeForce RTX 2070 SUPER,2022-09-01,417745
NVIDIA GeForce RTX 2070 SUPER,2022-10-01,475866
NVIDIA GeForce RTX 2070 SUPER,2022-11-01,432624
NVIDIA GeForce RTX 2070 SUPER,2022-12-01,429343
NVIDIA GeForce RTX 2070 SUPER,2023-01-01,456209
NVIDIA GeForce RTX 2070 SUPER,2023-02-01,432947
