card,date,real_users
NVIDIA GeForce RTX 3060 Ti,2021-01-01,60505
NVIDIA GeForce RTX 3060 Ti,2021-02-01,81105
NVIDIA GeForce RTX 3060 Ti,2021-03-01,91767
NVIDIA GeForce RTX 3060 Ti,2021-04-01,95728
NVIDIA GeForce RTX 3060 Ti,2021-05-01,96087
NVIDIA GeForce RTX 3060 Ti,2021-06-01,84533
NVIDIA GeForce RTX 3060 Ti,2021-07-01,100116
NVIDIA GeForce RTX 3060 Ti,2021-08-01,126819
NVIDIA GeForce RTX 3060 Ti,2021-09-01,156714
NVIDIA GeForce RTX 3060 Ti,2021-10-01,192384
NVIDIA GeForce RTX 3060 Ti,2021-11-01,240864
NVIDIA GeForce RTX 3060 Ti,2021-12-01,312283
NVIDIA GeForce RTX 3060 Ti,2022-01-01,308456
NVIDIA GeForce RTX 3060 Ti,2022-02-01,336060
NVIDIA GeForce RTX 3060 Ti,2022-03-01,398714
NVIDIA GeForce RTX 3060 Ti,2022-04-01,407978
NVIDIA GeForce RTX 3060 Ti,2022-05-01,464056
NVIDIA GeForce RTX 3060 Ti,2022-06-01,426229
NVIDIA GeForce RTX 3060 Ti,2022-07-01,497164
NVIDIA GeForce RTX 3060 Ti,2022-08-01,497212
NVIDIA GeForce RTX 3060 Ti,2022-09-01,522822
NVIDIA GeForce RTX 3060 Ti,2022-10-01,693972
NVIDIA GeForce RTX 3060 Ti,2022-11-01,619247
NVIDIA GeForce RTX 3060 Ti,2022-12-01,694198
NVIDIA GeForce RTX 3060 Ti,2023-01-01,798366
NVIDIA GeForce RTX 3060 Ti,2023-02-01,813940
