card,date,real_users
NVIDIA GeForce RTX 3080 Laptop GPU,2022-03-01,40139
NVIDIA GeForce RTX 3080 Laptop GPU,2022-04-01,46237
NVIDIA GeForce RTX 3080 Laptop GPU,2022-05-01,50624
NVIDIA GeForce RTX 3080 Laptop GPU,2022-06-01,43650
NVIDIA GeForce RTX 3080 Laptop GPU,2022-07-01,48372
NVIDIA GeForce RTX 3080 Laptop GPU,2022-08-01,46372
NVIDIA GeForce RTX 3080 Laptop GPU,2022-09-01,46131
NVIDIA GeForce RTX 3080 Laptop GPU,2022-10-01,45320
NVIDIA GeForce RTX 3080 Laptop GPU,2022-11-01,56552
NVIDIA GeForce RTX 3080 Laptop GPU,2022-12-01,55758
NVIDIA GeForce RTX 3080 Laptop GPU,2023-01-01,64732
NVIDIA GeForce RTX 3080 Laptop GPU,2023-02-01,57726
