card,date,real_users
Other,2008-11-01,254566
Other,2009-01-01,275990
Other,2009-02-01,303257
Other,2009-03-01,350840
Other,2009-04-01,358587
Other,2009-05-01,301818
Other,2009-06-01,339704
Other,2009-07-01,409522
Other,2009-08-01,319667
Other,2009-09-01,368347
Other,2009-10-01,339648
Other,2009-11-01,395071
Other,2009-12-01,435465
Other,2010-01-01,543768
Other,2010-02-01,536063
Other,2010-03-01,558175
Other,2010-05-01,526562
Other,2010-06-01,571121
Other,2010-07-01,581081
Other,2010-08-01,618595
Other,2010-11-01,702002
Other,2011-01-01,821491
Other,2011-04-01,747680
Other,2011-06-01,742027
Other,2011-08-01,906181
Other,2011-10-01,921576
Other,2011-11-01,1063314
Other,2011-12-01,1052014
Other,2012-02-01,1112775
Other,2012-03-01,1280841
Other,2012-04-01,1500464
Other,2012-05-01,4944680
Other,2012-07-01,1502047
Other,2012-08-01,1336328
Other,2012-10-01,1830888
Other,2012-12-01,2068369
Other,2013-02-01,1972682
Other,2013-03-01,1663819
Other,2013-06-01,1749835
Other,2013-07-01,1748431
Other,2013-09-01,2109232
Other,2013-11-01,5913422
Other,2013-12-01,7190202
Other,2014-01-01,2785888
Other,2014-03-01,6781793
Other,2014-04-01,2201041
Other,2014-05-01,2301431
Other,2014-06-01,2608994
Other,2014-07-01,2652984
Other,2014-08-01,2359521
Other,2014-09-01,937389
Other,2014-10-01,6444097
Other,2014-11-01,1042967
Other,2014-12-01,1097848
Other,2015-01-01,1162484
Other,2015-02-01,8089530
Other,2015-03-01,8424024
Other,2015-04-01,7881158
Other,2015-05-01,1059982
Other,2015-06-01,1123410
Other,2015-08-01,8423134
Other,2015-09-01,1154966
Other,2015-11-01,1809592
Other,2016-01-01,1496365
Other,2016-02-01,1390356
Other,2016-03-01,1327452
Other,2016-04-01,1411308
Other,2016-05-01,1494320
Other,2016-06-01,1486575
Other,2016-07-01,1615189
Other,2016-08-01,1551750
Other,2016-10-01,1804595
Other,2016-11-01,1839602
Other,2016-12-01,1710483
Other,2017-08-01,1573833
Other,2017-09-01,10657917
Other,2017-10-01,1874909
Other,2017-11-01,1601681
Other,2017-12-01,1729468
Other,2018-01-01,1767558
Other,2018-02-01,1867805
Other,2018-03-01,1976112
Other,2018-04-01,2019344
Other,2018-05-01,1942828
Other,2018-06-01,1835748
Other,2018-07-01,1886113
Other,2018-08-01,1620845
Other,2018-09-01,1727928
Other,2018-10-01,1606385
Other,2018-11-01,1623612
Other,2018-12-01,1910585
Other,2019-01-01,1852634
Other,2019-02-01,1789228
Other,2019-03-01,1784862
Other,2019-04-01,1723479
Other,2019-05-01,1882273
Other,2019-06-01,1846318
Other,2019-07-01,1818354
Other,2019-08-01,1766424
Other,2019-09-01,1830106
Other,2019-10-01,1630700
Other,2019-11-01,1687914
Other,2019-12-01,1940277
Other,2020-01-01,1809284
Other,2020-02-01,1855755
Other,2020-03-01,1906564
Other,2020-04-01,2482308
Other,2020-05-01,2478521
Other,2020-06-01,2252178
Other,2020-07-01,2189973
Other,2020-08-01,2003906
Other,2020-09-01,2145050
Other,2020-10-01,2228154
Other,2020-11-01,2400244
Other,2020-12-01,2518452
Other,2021-01-01,2550920
Other,2021-02-01,2627341
Other,2021-03-01,2676541
Other,2021-04-01,2723237
Other,2021-05-01,2599302
Other,2021-06-01,2601205
Other,2021-07-01,2761761
Other,2021-08-01,2699095
Other,2021-09-01,2583412
Other,2021-10-01,2729905
Other,2021-11-01,2783888
Other,2021-12-01,2705624
Other,2022-01-01,2942200
Other,2022-02-01,2995202
Other,2022-03-01,2836490
Other,2022-04-01,2902089
Other,2022-05-01,2806839
Other,2022-06-01,2767926
Other,2022-07-01,2539570
Other,2022-08-01,2586535
Other,2022-09-01,2468031
Other,2022-10-01,2821210
Other,2022-11-01,2855890
Other,2022-12-01,2818614
Other,2023-01-01,3178054
Other,2023-02-01,3007540
