card,date,real_users
AMD Radeon HD 6310,2014-09-01,28192
AMD Radeon HD 6310,2014-10-01,25131
AMD Radeon HD 6310,2014-11-01,28844
AMD Radeon HD 6310,2014-12-01,28618
AMD Radeon HD 6310,2015-01-01,28786
AMD Radeon HD 6310,2015-05-01,27673
AMD Radeon HD 6310,2015-06-01,29678
AMD Radeon HD 6310,2015-09-01,28393
AMD Radeon HD 6310,2015-11-01,37727
AMD Radeon HD 6310,2016-01-01,29271
AMD Radeon HD 6310,2016-02-01,27963
AMD Radeon HD 6310,2016-03-01,26373
AMD Radeon HD 6310,2016-04-01,26009
AMD Radeon HD 6310,2016-05-01,27259
AMD Radeon HD 6310,2016-06-01,25439
AMD Radeon HD 6310,2016-07-01,25472
AMD Radeon HD 6310,2016-08-01,23193
AMD Radeon HD 6310,2016-10-01,23027
AMD Radeon HD 6310,2016-11-01,22477
AMD Radeon HD 6310,2016-12-01,19071
