card,date,real_users
AMD Radeon HD 7540D,2014-09-01,15505
AMD Radeon HD 7540D,2014-10-01,12243
AMD Radeon HD 7540D,2014-11-01,18976
AMD Radeon HD 7540D,2014-12-01,19874
AMD Radeon HD 7540D,2015-01-01,22860
AMD Radeon HD 7540D,2015-05-01,25157
AMD Radeon HD 7540D,2015-06-01,25313
AMD Radeon HD 7540D,2015-09-01,21981
AMD Radeon HD 7540D,2015-11-01,32338
AMD Radeon HD 7540D,2016-01-01,29271
AMD Radeon HD 7540D,2016-02-01,26845
AMD Radeon HD 7540D,2016-03-01,26373
AMD Radeon HD 7540D,2016-04-01,24878
AMD Radeon HD 7540D,2016-05-01,34694
AMD Radeon HD 7540D,2016-06-01,27652
AMD Radeon HD 7540D,2016-07-01,24314
AMD Radeon HD 7540D,2016-08-01,25402
AMD Radeon HD 7540D,2016-10-01,23027
AMD Radeon HD 7540D,2016-11-01,22477
AMD Radeon HD 7540D,2016-12-01,23839
