card,date,real_users
AMD Radeon R7 Graphics,2015-05-01,13417
AMD Radeon R7 Graphics,2015-06-01,13966
AMD Radeon R7 Graphics,2015-09-01,21981
AMD Radeon R7 Graphics,2015-11-01,37727
AMD Radeon R7 Graphics,2016-01-01,45663
AMD Radeon R7 Graphics,2016-02-01,45860
AMD Radeon R7 Graphics,2016-03-01,46153
AMD Radeon R7 Graphics,2016-04-01,50888
AMD Radeon R7 Graphics,2016-05-01,64431
AMD Radeon R7 Graphics,2016-06-01,58622
AMD Radeon R7 Graphics,2016-07-01,68312
AMD Radeon R7 Graphics,2016-08-01,68475
AMD Radeon R7 Graphics,2016-10-01,82412
AMD Radeon R7 Graphics,2016-11-01,85177
AMD Radeon R7 Graphics,2016-12-01,88206
AMD Radeon R7 Graphics,2017-08-01,106490
AMD Radeon R7 Graphics,2017-10-01,88819
AMD Radeon R7 Graphics,2017-11-01,64306
AMD Radeon R7 Graphics,2017-12-01,72257
AMD Radeon R7 Graphics,2018-01-01,81111
AMD Radeon R7 Graphics,2018-02-01,81824
AMD Radeon R7 Graphics,2018-03-01,90618
AMD Radeon R7 Graphics,2018-04-01,159965
AMD Radeon R7 Graphics,2018-05-01,151072
AMD Radeon R7 Graphics,2018-06-01,137410
AMD Radeon R7 Graphics,2018-07-01,139045
AMD Radeon R7 Graphics,2018-08-01,129330
AMD Radeon R7 Graphics,2018-09-01,140016
AMD Radeon R7 Graphics,2018-10-01,119836
AMD Radeon R7 Graphics,2018-11-01,147864
AMD Radeon R7 Graphics,2018-12-01,150620
AMD Radeon R7 Graphics,2019-01-01,178354
AMD Radeon R7 Graphics,2019-02-01,128022
AMD Radeon R7 Graphics,2019-03-01,127165
AMD Radeon R7 Graphics,2019-04-01,140782
AMD Radeon R7 Graphics,2019-05-01,138542
AMD Radeon R7 Graphics,2019-06-01,141776
AMD Radeon R7 Graphics,2019-07-01,121531
AMD Radeon R7 Graphics,2019-08-01,122932
AMD Radeon R7 Graphics,2019-09-01,125548
AMD Radeon R7 Graphics,2019-10-01,109950
AMD Radeon R7 Graphics,2019-11-01,112629
AMD Radeon R7 Graphics,2019-12-01,121803
AMD Radeon R7 Graphics,2020-01-01,102857
AMD Radeon R7 Graphics,2020-02-01,120314
AMD Radeon R7 Graphics,2020-03-01,92346
AMD Radeon R7 Graphics,2020-04-01,100054
AMD Radeon R7 Graphics,2020-05-01,103467
AMD Radeon R7 Graphics,2020-06-01,110337
AMD Radeon R7 Graphics,2020-07-01,99262
AMD Radeon R7 Graphics,2020-08-01,83575
AMD Radeon R7 Graphics,2020-09-01,85883
AMD Radeon R7 Graphics,2020-10-01,87588
AMD Radeon R7 Graphics,2020-11-01,97495
AMD Radeon R7 Graphics,2020-12-01,84971
AMD Radeon R7 Graphics,2021-01-01,77447
AMD Radeon R7 Graphics,2021-02-01,76190
AMD Radeon R7 Graphics,2021-03-01,73923
AMD Radeon R7 Graphics,2021-04-01,75575
AMD Radeon R7 Graphics,2021-05-01,76377
AMD Radeon R7 Graphics,2021-06-01,70041
AMD Radeon R7 Graphics,2021-07-01,73256
AMD Radeon R7 Graphics,2021-08-01,62213
AMD Radeon R7 Graphics,2021-09-01,64110
AMD Radeon R7 Graphics,2021-10-01,68186
AMD Radeon R7 Graphics,2021-11-01,65920
AMD Radeon R7 Graphics,2021-12-01,59958
AMD Radeon R7 Graphics,2022-01-01,63273
AMD Radeon R7 Graphics,2022-02-01,64011
AMD Radeon R7 Graphics,2022-03-01,56194
AMD Radeon R7 Graphics,2022-04-01,70716
AMD Radeon R7 Graphics,2022-05-01,64686
AMD Radeon R7 Graphics,2022-06-01,61623
AMD Radeon R7 Graphics,2022-07-01,56434
AMD Radeon R7 Graphics,2022-08-01,59253
AMD Radeon R7 Graphics,2022-09-01,51257
AMD Radeon R7 Graphics,2022-10-01,53818
AMD Radeon R7 Graphics,2022-11-01,65035
AMD Radeon R7 Graphics,2022-12-01,61334
AMD Radeon R7 Graphics,2023-01-01,61649
AMD Radeon R7 Graphics,2023-02-01,49067
