card,date,real_users
AMD Radeon RX 470,2016-12-01,19071
AMD Radeon RX 470,2017-08-01,39624
AMD Radeon RX 470,2017-10-01,25838
AMD Radeon RX 470,2017-12-01,23562
AMD Radeon RX 470,2018-03-01,28616
AMD Radeon RX 470,2018-04-01,43001
AMD Radeon RX 470,2018-05-01,42235
AMD Radeon RX 470,2018-06-01,38598
AMD Radeon RX 470,2018-07-01,37624
AMD Radeon RX 470,2018-08-01,35144
AMD Radeon RX 470,2018-09-01,39777
AMD Radeon RX 470,2018-10-01,35665
AMD Radeon RX 470,2018-11-01,37691
AMD Radeon RX 470,2018-12-01,40929
AMD Radeon RX 470,2019-01-01,41776
AMD Radeon RX 470,2019-02-01,41645
AMD Radeon RX 470,2019-03-01,40874
AMD Radeon RX 470,2019-04-01,45939
AMD Radeon RX 470,2019-05-01,49365
AMD Radeon RX 470,2019-06-01,62832
AMD Radeon RX 470,2019-07-01,53842
AMD Radeon RX 470,2019-08-01,45367
AMD Radeon RX 470,2019-09-01,51506
AMD Radeon RX 470,2019-10-01,47121
AMD Radeon RX 470,2019-11-01,47182
AMD Radeon RX 470,2019-12-01,48035
AMD Radeon RX 470,2020-01-01,53958
AMD Radeon RX 470,2020-02-01,60157
AMD Radeon RX 470,2020-03-01,63488
AMD Radeon RX 470,2020-04-01,80996
AMD Radeon RX 470,2020-05-01,79952
AMD Radeon RX 470,2020-06-01,75721
AMD Radeon RX 470,2020-07-01,76514
AMD Radeon RX 470,2020-08-01,62681
AMD Radeon RX 470,2020-09-01,67480
AMD Radeon RX 470,2020-10-01,72633
AMD Radeon RX 470,2020-11-01,74282
AMD Radeon RX 470,2020-12-01,63728
AMD Radeon RX 470,2021-01-01,77447
AMD Radeon RX 470,2021-02-01,76190
AMD Radeon RX 470,2021-03-01,76472
AMD Radeon RX 470,2021-04-01,80613
AMD Radeon RX 470,2021-05-01,73913
AMD Radeon RX 470,2021-06-01,62796
AMD Radeon RX 470,2021-07-01,61046
AMD Radeon RX 470,2021-08-01,55034
AMD Radeon RX 470,2021-09-01,56987
AMD Radeon RX 470,2021-10-01,60881
AMD Radeon RX 470,2021-11-01,58314
AMD Radeon RX 470,2021-12-01,52463
AMD Radeon RX 470,2022-01-01,55363
AMD Radeon RX 470,2022-02-01,53342
AMD Radeon RX 470,2022-03-01,48166
AMD Radeon RX 470,2022-04-01,51677
AMD Radeon RX 470,2022-05-01,53436
AMD Radeon RX 470,2022-06-01,46217
AMD Radeon RX 470,2022-07-01,53747
AMD Radeon RX 470,2022-08-01,41219
AMD Radeon RX 470,2022-09-01,41005
AMD Radeon RX 470,2022-11-01,45241
