card,date,real_users
AMD Radeon RX Vega,2019-01-01,25708
AMD Radeon RX Vega,2019-02-01,29306
AMD Radeon RX Vega,2019-03-01,33305
AMD Radeon RX Vega,2019-04-01,34084
AMD Radeon RX Vega,2019-05-01,38218
AMD Radeon RX Vega,2019-06-01,41888
AMD Radeon RX Vega,2019-07-01,41536
AMD Radeon RX Vega,2019-08-01,43904
AMD Radeon RX Vega,2019-09-01,49897
AMD Radeon RX Vega,2019-10-01,44265
AMD Radeon RX Vega,2019-11-01,47182
AMD Radeon RX Vega,2019-12-01,51466
AMD Radeon RX Vega,2020-01-01,57330
AMD Radeon RX Vega,2020-02-01,58334
AMD Radeon RX Vega,2020-03-01,59640
AMD Radeon RX Vega,2020-04-01,76232
AMD Radeon RX Vega,2020-05-01,72897
AMD Radeon RX Vega,2020-06-01,67067
AMD Radeon RX Vega,2020-07-01,62038
AMD Radeon RX Vega,2020-08-01,55083
AMD Radeon RX Vega,2020-09-01,61345
AMD Radeon RX Vega,2020-10-01,59816
AMD Radeon RX Vega,2020-11-01,62675
AMD Radeon RX Vega,2020-12-01,54287
AMD Radeon RX Vega,2021-01-01,62925
AMD Radeon RX Vega,2021-02-01,61443
AMD Radeon RX Vega,2021-03-01,63727
AMD Radeon RX Vega,2021-04-01,57941
AMD Radeon RX Vega,2021-05-01,54203
AMD Radeon RX Vega,2021-06-01,45889
AMD Radeon RX Vega,2021-07-01,43953
AMD Radeon RX Vega,2021-08-01,35892
AMD Radeon RX Vega,2021-09-01,37991
AMD Radeon RX Vega,2021-10-01,41399
AMD Radeon RX Vega,2021-11-01,40566
AMD Radeon RX Vega,2021-12-01,37474
AMD Radeon RX Vega,2022-07-01,42998
