card,date,real_users
ATI Mobility Radeon HD 5650,2012-02-01,22962
ATI Mobility Radeon HD 5650,2012-03-01,46528
ATI Mobility Radeon HD 5650,2012-04-01,53855
ATI Mobility Radeon HD 5650,2012-05-01,53897
ATI Mobility Radeon HD 5650,2012-07-01,45728
ATI Mobility Radeon HD 5650,2012-08-01,43314
ATI Mobility Radeon HD 5650,2012-10-01,50574
ATI Mobility Radeon HD 5650,2012-12-01,50733
ATI Mobility Radeon HD 5650,2013-02-01,48141
ATI Mobility Radeon HD 5650,2013-03-01,39343
ATI Mobility Radeon HD 5650,2013-06-01,37784
ATI Mobility Radeon HD 5650,2013-07-01,37617
ATI Mobility Radeon HD 5650,2013-09-01,42943
ATI Mobility Radeon HD 5650,2013-12-01,44579
ATI Mobility Radeon HD 5650,2014-01-01,46494
ATI Mobility Radeon HD 5650,2014-04-01,34026
ATI Mobility Radeon HD 5650,2014-09-01,31011
ATI Mobility Radeon HD 5650,2014-10-01,27065
ATI Mobility Radeon HD 5650,2014-11-01,31881
ATI Mobility Radeon HD 5650,2014-12-01,31798
ATI Mobility Radeon HD 5650,2015-01-01,32173
