card,date,real_users
ATI Radeon HD 4870,2011-01-01,94290
ATI Radeon HD 4870,2011-04-01,92463
ATI Radeon HD 4870,2011-06-01,93359
ATI Radeon HD 4870,2011-08-01,100569
ATI Radeon HD 4870,2011-12-01,124836
ATI Radeon HD 4870,2012-02-01,109069
ATI Radeon HD 4870,2012-03-01,48283
ATI Radeon HD 4870,2012-04-01,44380
ATI Radeon HD 4870,2012-05-01,42029
ATI Radeon HD 4870,2012-07-01,35463
ATI Radeon HD 4870,2012-08-01,31735
ATI Radeon HD 4870,2012-10-01,37123
ATI Radeon HD 4870,2012-12-01,35123
ATI Radeon HD 4870,2013-02-01,32849
ATI Radeon HD 4870,2013-03-01,25597
