card,date,real_users
Intel HD Graphics 620,2017-08-01,33433
Intel HD Graphics 620,2017-10-01,41987
Intel HD Graphics 620,2017-11-01,35892
Intel HD Graphics 620,2017-12-01,39270
Intel HD Graphics 620,2018-01-01,40555
Intel HD Graphics 620,2018-02-01,40912
Intel HD Graphics 620,2018-03-01,54052
Intel HD Graphics 620,2018-04-01,89442
Intel HD Graphics 620,2018-05-01,97466
Intel HD Graphics 620,2018-06-01,97268
Intel HD Graphics 620,2018-07-01,96514
Intel HD Graphics 620,2018-08-01,96997
Intel HD Graphics 620,2018-09-01,111376
Intel HD Graphics 620,2018-10-01,97010
Intel HD Graphics 620,2018-11-01,107274
Intel HD Graphics 620,2018-12-01,126062
Intel HD Graphics 620,2019-01-01,126936
Intel HD Graphics 620,2019-02-01,115682
Intel HD Graphics 620,2019-03-01,119596
Intel HD Graphics 620,2019-04-01,109662
Intel HD Graphics 620,2019-05-01,127395
Intel HD Graphics 620,2019-06-01,117610
Intel HD Graphics 620,2019-07-01,121531
Intel HD Graphics 620,2019-08-01,117078
Intel HD Graphics 620,2019-09-01,133596
Intel HD Graphics 620,2019-10-01,112806
Intel HD Graphics 620,2019-11-01,117195
Intel HD Graphics 620,2019-12-01,140674
Intel HD Graphics 620,2020-01-01,119719
Intel HD Graphics 620,2020-02-01,145835
Intel HD Graphics 620,2020-03-01,169301
Intel HD Graphics 620,2020-04-01,221549
Intel HD Graphics 620,2020-05-01,225747
Intel HD Graphics 620,2020-06-01,192549
Intel HD Graphics 620,2020-07-01,179912
Intel HD Graphics 620,2020-08-01,159552
Intel HD Graphics 620,2020-09-01,173812
Intel HD Graphics 620,2020-10-01,179448
Intel HD Graphics 620,2020-11-01,176420
Intel HD Graphics 620,2020-12-01,146339
Intel HD Graphics 620,2021-01-01,166995
Intel HD Graphics 620,2021-02-01,167127
Intel HD Graphics 620,2021-03-01,163141
Intel HD Graphics 620,2021-04-01,146112
Intel HD Graphics 620,2021-05-01,145363
Intel HD Graphics 620,2021-06-01,137668
Intel HD Graphics 620,2021-07-01,148954
Intel HD Graphics 620,2021-08-01,122033
Intel HD Graphics 620,2021-09-01,128220
Intel HD Graphics 620,2021-10-01,129067
Intel HD Graphics 620,2021-11-01,129306
Intel HD Graphics 620,2021-12-01,119916
Intel HD Graphics 620,2022-01-01,123909
Intel HD Graphics 620,2022-02-01,117354
Intel HD Graphics 620,2022-03-01,117741
Intel HD Graphics 620,2022-04-01,114234
Intel HD Graphics 620,2022-05-01,109686
Intel HD Graphics 620,2022-06-01,112976
Intel HD Graphics 620,2022-07-01,83308
Intel HD Graphics 620,2022-08-01,105625
Intel HD Graphics 620,2022-09-01,94825
Intel HD Graphics 620,2022-10-01,99138
Intel HD Graphics 620,2022-11-01,107449
Intel HD Graphics 620,2022-12-01,111517
Intel HD Graphics 620,2023-01-01,120217
Intel HD Graphics 620,2023-02-01,103907
