card,date,real_users
NVIDIA GeForce 7300,2008-11-01,37953
NVIDIA GeForce 7300,2009-01-01,40798
NVIDIA GeForce 7300,2009-02-01,42010
NVIDIA GeForce 7300,2009-03-01,46705
NVIDIA GeForce 7300,2009-04-01,45758
NVIDIA GeForce 7300,2009-05-01,36657
NVIDIA GeForce 7300,2009-06-01,38327
NVIDIA GeForce 7300,2009-07-01,29587
NVIDIA GeForce 7300,2009-08-01,29653
NVIDIA GeForce 7300,2009-09-01,32068
NVIDIA GeForce 7300,2009-10-01,27449
NVIDIA GeForce 7300,2009-11-01,29088
NVIDIA GeForce 7300,2009-12-01,29973
NVIDIA GeForce 7300,2010-01-01,37517
NVIDIA GeForce 7300,2010-02-01,33396
NVIDIA GeForce 7300,2010-03-01,30903
NVIDIA GeForce 7300,2010-05-01,25903
NVIDIA GeForce 7300,2010-06-01,26519
NVIDIA GeForce 7300,2010-07-01,22439
NVIDIA GeForce 7300,2010-08-01,24050
NVIDIA GeForce 7300,2010-11-01,19026
NVIDIA GeForce 7300,2011-01-01,20343
NVIDIA GeForce 7300,2011-06-01,15458
NVIDIA GeForce 7300,2011-10-01,30744
NVIDIA GeForce 7300,2011-11-01,28819
NVIDIA GeForce 7300,2011-12-01,28352
