card,date,real_users
NVIDIA GeForce 920MX,2018-04-01,36121
NVIDIA GeForce 920MX,2018-05-01,38986
NVIDIA GeForce 920MX,2018-06-01,37054
NVIDIA GeForce 920MX,2018-07-01,37624
NVIDIA GeForce 920MX,2018-08-01,36549
NVIDIA GeForce 920MX,2018-09-01,39777
NVIDIA GeForce 920MX,2018-10-01,34239
NVIDIA GeForce 920MX,2018-11-01,42039
NVIDIA GeForce 920MX,2018-12-01,47478
NVIDIA GeForce 920MX,2019-01-01,48203
NVIDIA GeForce 920MX,2019-02-01,43188
NVIDIA GeForce 920MX,2019-03-01,45416
NVIDIA GeForce 920MX,2019-04-01,41493
NVIDIA GeForce 920MX,2019-05-01,44588
NVIDIA GeForce 920MX,2019-06-01,41888
NVIDIA GeForce 920MX,2019-07-01,41536
NVIDIA GeForce 920MX,2019-08-01,40977
NVIDIA GeForce 920MX,2019-09-01,43458
NVIDIA GeForce 920MX,2019-10-01,35698
NVIDIA GeForce 920MX,2019-11-01,38050
NVIDIA GeForce 920MX,2019-12-01,42888
NVIDIA GeForce 920MX,2020-01-01,42154
NVIDIA GeForce 920MX,2020-02-01,47396
NVIDIA GeForce 920MX,2020-03-01,53868
NVIDIA GeForce 920MX,2020-04-01,69085
NVIDIA GeForce 920MX,2020-05-01,70546
NVIDIA GeForce 920MX,2020-06-01,56250
NVIDIA GeForce 920MX,2020-07-01,49631
NVIDIA GeForce 920MX,2020-08-01,43687
NVIDIA GeForce 920MX,2020-09-01,44986
NVIDIA GeForce 920MX,2020-10-01,46998
NVIDIA GeForce 920MX,2020-11-01,48747
NVIDIA GeForce 920MX,2020-12-01,42485
NVIDIA GeForce 920MX,2021-01-01,48404
NVIDIA GeForce 920MX,2021-02-01,46697
NVIDIA GeForce 920MX,2021-03-01,48432
NVIDIA GeForce 920MX,2021-04-01,45345
NVIDIA GeForce 920MX,2021-05-01,44348
NVIDIA GeForce 920MX,2021-06-01,38643
NVIDIA GeForce 920MX,2021-07-01,41511
