card,date,real_users
NVIDIA GeForce 9500 GT,2016-06-01,60834
NVIDIA GeForce 9500 GT,2016-07-01,61365
NVIDIA GeForce 9500 GT,2016-08-01,55222
NVIDIA GeForce 9500 GT,2016-10-01,58173
NVIDIA GeForce 9500 GT,2016-11-01,55602
NVIDIA GeForce 9500 GT,2016-12-01,53638
NVIDIA GeForce 9500 GT,2017-08-01,37147
NVIDIA GeForce 9500 GT,2017-10-01,25838
NVIDIA GeForce 9500 GT,2018-04-01,32681
NVIDIA GeForce 9500 GT,2018-05-01,30864
NVIDIA GeForce 9500 GT,2018-06-01,29334
NVIDIA GeForce 9500 GT,2018-07-01,27809
NVIDIA GeForce 9500 GT,2018-08-01,23897
NVIDIA GeForce 9500 GT,2018-09-01,27048
NVIDIA GeForce 9500 GT,2018-10-01,21399
NVIDIA GeForce 9500 GT,2018-11-01,23194
NVIDIA GeForce 9500 GT,2018-12-01,26194
NVIDIA GeForce 9500 GT,2019-01-01,27315
NVIDIA GeForce 9500 GT,2019-02-01,23136
NVIDIA GeForce 9500 GT,2019-03-01,24222
