card,date,real_users
NVIDIA GeForce 9600M,2009-01-01,10499
NVIDIA GeForce 9600M,2009-02-01,13436
NVIDIA GeForce 9600M,2009-03-01,17514
NVIDIA GeForce 9600M,2009-04-01,19051
NVIDIA GeForce 9600M,2009-05-01,18893
NVIDIA GeForce 9600M,2009-06-01,23864
NVIDIA GeForce 9600M,2009-07-01,20005
NVIDIA GeForce 9600M,2009-08-01,22822
NVIDIA GeForce 9600M,2009-09-01,24533
NVIDIA GeForce 9600M,2009-10-01,21297
NVIDIA GeForce 9600M,2009-11-01,25209
NVIDIA GeForce 9600M,2009-12-01,29762
NVIDIA GeForce 9600M,2010-01-01,34391
NVIDIA GeForce 9600M,2010-02-01,33396
NVIDIA GeForce 9600M,2010-03-01,33777
NVIDIA GeForce 9600M,2010-05-01,38855
NVIDIA GeForce 9600M,2010-06-01,40489
NVIDIA GeForce 9600M,2010-07-01,38801
NVIDIA GeForce 9600M,2010-08-01,35843
NVIDIA GeForce 9600M,2010-11-01,46856
NVIDIA GeForce 9600M,2011-01-01,53280
NVIDIA GeForce 9600M,2011-04-01,42243
NVIDIA GeForce 9600M,2011-06-01,40011
NVIDIA GeForce 9600M,2011-08-01,52394
NVIDIA GeForce 9600M,2011-10-01,61109
NVIDIA GeForce 9600M,2011-11-01,70973
NVIDIA GeForce 9600M,2011-12-01,69400
NVIDIA GeForce 9600M,2012-02-01,58288
NVIDIA GeForce 9600M,2012-03-01,28092
NVIDIA GeForce 9600M,2012-04-01,32412
NVIDIA GeForce 9600M,2012-05-01,30162
NVIDIA GeForce 9600M,2012-07-01,26597
NVIDIA GeForce 9600M,2012-08-01,22729
NVIDIA GeForce 9600M,2014-09-01,11276
NVIDIA GeForce 9600M,2014-10-01,9666
NVIDIA GeForce 9600M,2014-11-01,12145
