card,date,real_users
NVIDIA GeForce GTS 150,2009-08-01,10246
NVIDIA GeForce GTS 150,2009-09-01,14895
NVIDIA GeForce GTS 150,2009-10-01,15775
NVIDIA GeForce GTS 150,2009-11-01,21331
NVIDIA GeForce GTS 150,2009-12-01,31662
NVIDIA GeForce GTS 150,2010-01-01,42327
NVIDIA GeForce GTS 150,2010-02-01,50094
NVIDIA GeForce GTS 150,2010-03-01,53182
NVIDIA GeForce GTS 150,2010-05-01,51361
NVIDIA GeForce GTS 150,2010-06-01,61800
NVIDIA GeForce GTS 150,2010-07-01,61473
NVIDIA GeForce GTS 150,2010-08-01,64981
NVIDIA GeForce GTS 150,2010-11-01,90306
NVIDIA GeForce GTS 150,2011-01-01,101717
NVIDIA GeForce GTS 150,2011-04-01,98962
NVIDIA GeForce GTS 150,2011-06-01,96087
NVIDIA GeForce GTS 150,2011-08-01,99866
NVIDIA GeForce GTS 150,2011-10-01,111970
NVIDIA GeForce GTS 150,2011-11-01,136785
NVIDIA GeForce GTS 150,2011-12-01,126529
NVIDIA GeForce GTS 150,2012-02-01,120109
NVIDIA GeForce GTS 150,2012-03-01,91739
NVIDIA GeForce GTS 150,2012-04-01,97737
