card,date,real_users
NVIDIA GeForce GTX 1660,2019-06-01,37055
NVIDIA GeForce GTX 1660,2019-07-01,58458
NVIDIA GeForce GTX 1660,2019-08-01,74637
NVIDIA GeForce GTX 1660,2019-09-01,101404
NVIDIA GeForce GTX 1660,2019-10-01,121374
NVIDIA GeForce GTX 1660,2019-11-01,158289
NVIDIA GeForce GTX 1660,2019-12-01,233313
NVIDIA GeForce GTX 1660,2020-01-01,190539
NVIDIA GeForce GTX 1660,2020-02-01,224221
NVIDIA GeForce GTX 1660,2020-03-01,269343
NVIDIA GeForce GTX 1660,2020-04-01,316839
NVIDIA GeForce GTX 1660,2020-05-01,338621
NVIDIA GeForce GTX 1660,2020-06-01,339665
NVIDIA GeForce GTX 1660,2020-07-01,341214
NVIDIA GeForce GTX 1660,2020-08-01,302010
NVIDIA GeForce GTX 1660,2020-09-01,335355
NVIDIA GeForce GTX 1660,2020-10-01,429394
NVIDIA GeForce GTX 1660,2020-11-01,413194
NVIDIA GeForce GTX 1660,2020-12-01,585357
NVIDIA GeForce GTX 1660,2021-01-01,421119
NVIDIA GeForce GTX 1660,2021-02-01,444853
NVIDIA GeForce GTX 1660,2021-03-01,466483
NVIDIA GeForce GTX 1660,2021-04-01,455972
NVIDIA GeForce GTX 1660,2021-05-01,426236
NVIDIA GeForce GTX 1660,2021-06-01,492707
NVIDIA GeForce GTX 1660,2021-07-01,503026
NVIDIA GeForce GTX 1660,2021-08-01,622131
NVIDIA GeForce GTX 1660,2021-09-01,489138
NVIDIA GeForce GTX 1660,2021-10-01,584457
NVIDIA GeForce GTX 1660,2021-11-01,453839
NVIDIA GeForce GTX 1660,2021-12-01,494657
NVIDIA GeForce GTX 1660,2022-01-01,471912
NVIDIA GeForce GTX 1660,2022-02-01,501423
NVIDIA GeForce GTX 1660,2022-03-01,532510
NVIDIA GeForce GTX 1660,2022-04-01,475975
NVIDIA GeForce GTX 1660,2022-05-01,486556
NVIDIA GeForce GTX 1660,2022-06-01,457041
NVIDIA GeForce GTX 1660,2022-07-01,467603
NVIDIA GeForce GTX 1660,2022-08-01,432806
NVIDIA GeForce GTX 1660,2022-09-01,484379
NVIDIA GeForce GTX 1660,2022-10-01,750623
NVIDIA GeForce GTX 1660,2022-11-01,412831
NVIDIA GeForce GTX 1660,2022-12-01,412616
NVIDIA GeForce GTX 1660,2023-01-01,403807
NVIDIA GeForce GTX 1660,2023-02-01,401197
