card,date,real_users
NVIDIA GeForce GTX 750 Ti,2014-08-01,34260
NVIDIA GeForce GTX 750 Ti,2014-09-01,46517
NVIDIA GeForce GTX 750 Ti,2014-10-01,47686
NVIDIA GeForce GTX 750 Ti,2014-11-01,63762
NVIDIA GeForce GTX 750 Ti,2014-12-01,77906
NVIDIA GeForce GTX 750 Ti,2015-01-01,96520
NVIDIA GeForce GTX 750 Ti,2015-05-01,125789
NVIDIA GeForce GTX 750 Ti,2015-06-01,137916
NVIDIA GeForce GTX 750 Ti,2015-09-01,170359
NVIDIA GeForce GTX 750 Ti,2015-11-01,274874
NVIDIA GeForce GTX 750 Ti,2016-01-01,275153
NVIDIA GeForce GTX 750 Ti,2016-02-01,287467
NVIDIA GeForce GTX 750 Ti,2016-03-01,299995
NVIDIA GeForce GTX 750 Ti,2016-04-01,306461
NVIDIA GeForce GTX 750 Ti,2016-05-01,363048
NVIDIA GeForce GTX 750 Ti,2016-06-01,315233
NVIDIA GeForce GTX 750 Ti,2016-07-01,349668
NVIDIA GeForce GTX 750 Ti,2016-08-01,339065
NVIDIA GeForce GTX 750 Ti,2016-10-01,385400
NVIDIA GeForce GTX 750 Ti,2016-11-01,395130
NVIDIA GeForce GTX 750 Ti,2016-12-01,399311
NVIDIA GeForce GTX 750 Ti,2017-08-01,646373
NVIDIA GeForce GTX 750 Ti,2017-09-01,804245
NVIDIA GeForce GTX 750 Ti,2017-10-01,2012176
NVIDIA GeForce GTX 750 Ti,2017-11-01,2150529
NVIDIA GeForce GTX 750 Ti,2017-12-01,2084472
NVIDIA GeForce GTX 750 Ti,2018-01-01,2271126
NVIDIA GeForce GTX 750 Ti,2018-02-01,2053484
NVIDIA GeForce GTX 750 Ti,2018-03-01,1542099
NVIDIA GeForce GTX 750 Ti,2018-04-01,856587
NVIDIA GeForce GTX 750 Ti,2018-05-01,700132
NVIDIA GeForce GTX 750 Ti,2018-06-01,668527
NVIDIA GeForce GTX 750 Ti,2018-07-01,920973
NVIDIA GeForce GTX 750 Ti,2018-08-01,493422
NVIDIA GeForce GTX 750 Ti,2018-09-01,590295
NVIDIA GeForce GTX 750 Ti,2018-10-01,617730
NVIDIA GeForce GTX 750 Ti,2018-11-01,426198
NVIDIA GeForce GTX 750 Ti,2018-12-01,466595
NVIDIA GeForce GTX 750 Ti,2019-01-01,457936
NVIDIA GeForce GTX 750 Ti,2019-02-01,438052
NVIDIA GeForce GTX 750 Ti,2019-03-01,389066
NVIDIA GeForce GTX 750 Ti,2019-04-01,392710
NVIDIA GeForce GTX 750 Ti,2019-05-01,398112
NVIDIA GeForce GTX 750 Ti,2019-06-01,491384
NVIDIA GeForce GTX 750 Ti,2019-07-01,464588
NVIDIA GeForce GTX 750 Ti,2019-08-01,327820
NVIDIA GeForce GTX 750 Ti,2019-09-01,357329
NVIDIA GeForce GTX 750 Ti,2019-10-01,359839
NVIDIA GeForce GTX 750 Ti,2019-11-01,319623
NVIDIA GeForce GTX 750 Ti,2019-12-01,343108
NVIDIA GeForce GTX 750 Ti,2020-01-01,323749
NVIDIA GeForce GTX 750 Ti,2020-02-01,346359
NVIDIA GeForce GTX 750 Ti,2020-03-01,296277
NVIDIA GeForce GTX 750 Ti,2020-04-01,347809
NVIDIA GeForce GTX 750 Ti,2020-05-01,333918
NVIDIA GeForce GTX 750 Ti,2020-06-01,313704
NVIDIA GeForce GTX 750 Ti,2020-07-01,326738
NVIDIA GeForce GTX 750 Ti,2020-08-01,245027
NVIDIA GeForce GTX 750 Ti,2020-09-01,255606
NVIDIA GeForce GTX 750 Ti,2020-10-01,267036
NVIDIA GeForce GTX 750 Ti,2020-11-01,271594
NVIDIA GeForce GTX 750 Ti,2020-12-01,231310
NVIDIA GeForce GTX 750 Ti,2021-01-01,254123
NVIDIA GeForce GTX 750 Ti,2021-02-01,255606
NVIDIA GeForce GTX 750 Ti,2021-03-01,262556
NVIDIA GeForce GTX 750 Ti,2021-04-01,264514
NVIDIA GeForce GTX 750 Ti,2021-05-01,248843
NVIDIA GeForce GTX 750 Ti,2021-06-01,251184
NVIDIA GeForce GTX 750 Ti,2021-07-01,271048
NVIDIA GeForce GTX 750 Ti,2021-08-01,248852
NVIDIA GeForce GTX 750 Ti,2021-09-01,244569
NVIDIA GeForce GTX 750 Ti,2021-10-01,243524
NVIDIA GeForce GTX 750 Ti,2021-11-01,238329
NVIDIA GeForce GTX 750 Ti,2021-12-01,224844
NVIDIA GeForce GTX 750 Ti,2022-01-01,258365
NVIDIA GeForce GTX 750 Ti,2022-02-01,261380
NVIDIA GeForce GTX 750 Ti,2022-03-01,246185
NVIDIA GeForce GTX 750 Ti,2022-04-01,252946
NVIDIA GeForce GTX 750 Ti,2022-05-01,241871
NVIDIA GeForce GTX 750 Ti,2022-06-01,228520
NVIDIA GeForce GTX 750 Ti,2022-07-01,241863
NVIDIA GeForce GTX 750 Ti,2022-08-01,206098
NVIDIA GeForce GTX 750 Ti,2022-09-01,202465
NVIDIA GeForce GTX 750 Ti,2022-10-01,209607
NVIDIA GeForce GTX 750 Ti,2022-11-01,212071
NVIDIA GeForce GTX 750 Ti,2022-12-01,195156
NVIDIA GeForce GTX 750 Ti,2023-01-01,212692
NVIDIA GeForce GTX 750 Ti,2023-02-01,178951
