card,date,real_users
NVIDIA GeForce GTX 960M,2016-06-01,56410
NVIDIA GeForce GTX 960M,2016-07-01,137783
NVIDIA GeForce GTX 960M,2016-08-01,153518
NVIDIA GeForce GTX 960M,2016-10-01,198760
NVIDIA GeForce GTX 960M,2016-11-01,215310
NVIDIA GeForce GTX 960M,2016-12-01,224091
NVIDIA GeForce GTX 960M,2017-08-01,261273
NVIDIA GeForce GTX 960M,2017-10-01,209938
NVIDIA GeForce GTX 960M,2017-11-01,155532
NVIDIA GeForce GTX 960M,2017-12-01,161794
NVIDIA GeForce GTX 960M,2018-01-01,158843
NVIDIA GeForce GTX 960M,2018-02-01,155781
NVIDIA GeForce GTX 960M,2018-03-01,216211
NVIDIA GeForce GTX 960M,2018-04-01,344011
NVIDIA GeForce GTX 960M,2018-05-01,318389
NVIDIA GeForce GTX 960M,2018-06-01,297981
NVIDIA GeForce GTX 960M,2018-07-01,282998
NVIDIA GeForce GTX 960M,2018-08-01,265689
NVIDIA GeForce GTX 960M,2018-09-01,295943
NVIDIA GeForce GTX 960M,2018-10-01,231114
NVIDIA GeForce GTX 960M,2018-11-01,260937
NVIDIA GeForce GTX 960M,2018-12-01,268496
NVIDIA GeForce GTX 960M,2019-01-01,261907
NVIDIA GeForce GTX 960M,2019-02-01,254502
NVIDIA GeForce GTX 960M,2019-03-01,236164
NVIDIA GeForce GTX 960M,2019-04-01,226734
NVIDIA GeForce GTX 960M,2019-05-01,230904
NVIDIA GeForce GTX 960M,2019-06-01,219109
NVIDIA GeForce GTX 960M,2019-07-01,204603
NVIDIA GeForce GTX 960M,2019-08-01,203424
NVIDIA GeForce GTX 960M,2019-09-01,212466
NVIDIA GeForce GTX 960M,2019-10-01,172780
NVIDIA GeForce GTX 960M,2019-11-01,185685
NVIDIA GeForce GTX 960M,2019-12-01,181847
NVIDIA GeForce GTX 960M,2020-01-01,205715
NVIDIA GeForce GTX 960M,2020-02-01,233336
NVIDIA GeForce GTX 960M,2020-03-01,234713
NVIDIA GeForce GTX 960M,2020-04-01,290634
NVIDIA GeForce GTX 960M,2020-05-01,265723
NVIDIA GeForce GTX 960M,2020-06-01,231491
NVIDIA GeForce GTX 960M,2020-07-01,202660
NVIDIA GeForce GTX 960M,2020-08-01,184245
NVIDIA GeForce GTX 960M,2020-09-01,188126
NVIDIA GeForce GTX 960M,2020-10-01,181584
NVIDIA GeForce GTX 960M,2020-11-01,194990
NVIDIA GeForce GTX 960M,2020-12-01,165221
NVIDIA GeForce GTX 960M,2021-01-01,191198
NVIDIA GeForce GTX 960M,2021-02-01,186789
NVIDIA GeForce GTX 960M,2021-03-01,180985
NVIDIA GeForce GTX 960M,2021-04-01,173823
NVIDIA GeForce GTX 960M,2021-05-01,165074
NVIDIA GeForce GTX 960M,2021-06-01,142498
NVIDIA GeForce GTX 960M,2021-07-01,136745
NVIDIA GeForce GTX 960M,2021-08-01,117247
NVIDIA GeForce GTX 960M,2021-09-01,123471
NVIDIA GeForce GTX 960M,2021-10-01,119326
NVIDIA GeForce GTX 960M,2021-11-01,121700
NVIDIA GeForce GTX 960M,2021-12-01,114920
NVIDIA GeForce GTX 960M,2022-01-01,123909
NVIDIA GeForce GTX 960M,2022-02-01,117354
NVIDIA GeForce GTX 960M,2022-03-01,109713
NVIDIA GeForce GTX 960M,2022-04-01,111514
NVIDIA GeForce GTX 960M,2022-05-01,106873
NVIDIA GeForce GTX 960M,2022-06-01,95003
NVIDIA GeForce GTX 960M,2022-07-01,91370
NVIDIA GeForce GTX 960M,2022-08-01,85015
NVIDIA GeForce GTX 960M,2022-09-01,82011
NVIDIA GeForce GTX 960M,2022-10-01,79311
NVIDIA GeForce GTX 960M,2022-11-01,90483
NVIDIA GeForce GTX 960M,2022-12-01,86426
NVIDIA GeForce GTX 960M,2023-01-01,95557
NVIDIA GeForce GTX 960M,2023-02-01,77930
