card,date,real_users
NVIDIA GeForce GT 440,2012-03-01,26336
NVIDIA GeForce GT 440,2012-04-01,30418
NVIDIA GeForce GT 440,2012-05-01,34118
NVIDIA GeForce GT 440,2012-07-01,31730
NVIDIA GeForce GT 440,2012-08-01,30449
NVIDIA GeForce GT 440,2012-10-01,39275
NVIDIA GeForce GT 440,2012-12-01,40140
NVIDIA GeForce GT 440,2013-02-01,41911
NVIDIA GeForce GT 440,2013-03-01,33181
NVIDIA GeForce GT 440,2013-06-01,37273
NVIDIA GeForce GT 440,2013-07-01,35040
NVIDIA GeForce GT 440,2013-09-01,44188
NVIDIA GeForce GT 440,2013-12-01,46017
NVIDIA GeForce GT 440,2014-01-01,49543
NVIDIA GeForce GT 440,2014-04-01,41588
NVIDIA GeForce GT 440,2014-05-01,39560
NVIDIA GeForce GT 440,2014-06-01,42851
NVIDIA GeForce GT 440,2014-07-01,41508
NVIDIA GeForce GT 440,2014-08-01,36798
NVIDIA GeForce GT 440,2014-09-01,40173
NVIDIA GeForce GT 440,2014-10-01,36731
NVIDIA GeForce GT 440,2014-11-01,42508
NVIDIA GeForce GT 440,2014-12-01,42928
NVIDIA GeForce GT 440,2015-01-01,44027
NVIDIA GeForce GT 440,2015-05-01,44445
NVIDIA GeForce GT 440,2015-06-01,44517
NVIDIA GeForce GT 440,2015-09-01,43963
NVIDIA GeForce GT 440,2015-11-01,59286
NVIDIA GeForce GT 440,2016-01-01,52688
NVIDIA GeForce GT 440,2016-02-01,45860
NVIDIA GeForce GT 440,2016-03-01,46153
NVIDIA GeForce GT 440,2016-04-01,45234
NVIDIA GeForce GT 440,2016-05-01,52041
NVIDIA GeForce GT 440,2016-06-01,44243
NVIDIA GeForce GT 440,2016-07-01,45155
NVIDIA GeForce GT 440,2016-08-01,40864
NVIDIA GeForce GT 440,2016-10-01,43630
NVIDIA GeForce GT 440,2016-11-01,40222
NVIDIA GeForce GT 440,2016-12-01,39335
NVIDIA GeForce GT 440,2017-08-01,28480
NVIDIA GeForce GT 440,2018-04-01,27520
NVIDIA GeForce GT 440,2018-05-01,25991
NVIDIA GeForce GT 440,2018-06-01,24703
NVIDIA GeForce GT 440,2018-08-01,21086
NVIDIA GeForce GT 440,2018-11-01,23194
NVIDIA GeForce GT 440,2019-01-01,25708
