card,date,real_users
NVIDIA GeForce GT 525M,2014-09-01,21144
NVIDIA GeForce GT 525M,2014-10-01,18687
NVIDIA GeForce GT 525M,2014-11-01,22013
NVIDIA GeForce GT 525M,2014-12-01,22259
NVIDIA GeForce GT 525M,2015-01-01,22013
NVIDIA GeForce GT 525M,2015-05-01,20126
NVIDIA GeForce GT 525M,2015-06-01,20949
NVIDIA GeForce GT 525M,2015-09-01,20150
NVIDIA GeForce GT 525M,2015-11-01,28295
NVIDIA GeForce GT 525M,2016-01-01,22246
NVIDIA GeForce GT 525M,2016-02-01,20133
NVIDIA GeForce GT 525M,2016-03-01,19779
NVIDIA GeForce GT 525M,2016-04-01,19224
NVIDIA GeForce GT 525M,2016-05-01,21064
NVIDIA GeForce GT 525M,2016-06-01,18803
NVIDIA GeForce GT 525M,2016-07-01,18525
NVIDIA GeForce GT 525M,2016-08-01,16566
