card,date,real_users
NVIDIA GeForce MX330,2021-09-01,37991
NVIDIA GeForce MX330,2021-10-01,41399
NVIDIA GeForce MX330,2021-11-01,43102
NVIDIA GeForce MX330,2021-12-01,42470
NVIDIA GeForce MX330,2022-01-01,50091
NVIDIA GeForce MX330,2022-02-01,48008
NVIDIA GeForce MX330,2022-03-01,48166
NVIDIA GeForce MX330,2022-04-01,54397
NVIDIA GeForce MX330,2022-05-01,50624
NVIDIA GeForce MX330,2022-06-01,48785
NVIDIA GeForce MX330,2022-08-01,46372
NVIDIA GeForce MX330,2022-09-01,43568
NVIDIA GeForce MX330,2022-10-01,42488
NVIDIA GeForce MX330,2022-11-01,50897
NVIDIA GeForce MX330,2022-12-01,50183
NVIDIA GeForce MX330,2023-01-01,55484
NVIDIA GeForce MX330,2023-02-01,49067
