card,date,real_users
NVIDIA GeForce RTX 3090,2021-01-01,53245
NVIDIA GeForce RTX 3090,2021-02-01,71274
NVIDIA GeForce RTX 3090,2021-03-01,81570
NVIDIA GeForce RTX 3090,2021-04-01,90690
NVIDIA GeForce RTX 3090,2021-05-01,88696
NVIDIA GeForce RTX 3090,2021-06-01,82117
NVIDIA GeForce RTX 3090,2021-07-01,90349
NVIDIA GeForce RTX 3090,2021-08-01,86141
NVIDIA GeForce RTX 3090,2021-09-01,97352
NVIDIA GeForce RTX 3090,2021-10-01,104715
NVIDIA GeForce RTX 3090,2021-11-01,111558
NVIDIA GeForce RTX 3090,2021-12-01,104927
NVIDIA GeForce RTX 3090,2022-01-01,110727
NVIDIA GeForce RTX 3090,2022-02-01,109352
NVIDIA GeForce RTX 3090,2022-03-01,117741
NVIDIA GeForce RTX 3090,2022-04-01,122393
NVIDIA GeForce RTX 3090,2022-05-01,143435
NVIDIA GeForce RTX 3090,2022-06-01,115544
NVIDIA GeForce RTX 3090,2022-07-01,139743
NVIDIA GeForce RTX 3090,2022-08-01,123659
NVIDIA GeForce RTX 3090,2022-09-01,120454
NVIDIA GeForce RTX 3090,2022-10-01,133129
NVIDIA GeForce RTX 3090,2022-11-01,144208
NVIDIA GeForce RTX 3090,2022-12-01,136609
NVIDIA GeForce RTX 3090,2023-01-01,163372
NVIDIA GeForce RTX 3090,2023-02-01,144315
