card,date,real_users,GPU_name,cores,tmus,rops,memory_size,bus_width,release_date
AMD Radeon RX 460,2016-12-01,20263,AMD Radeon RX 460 Mobile,896.0,56.0,16.0,4.0,128.0,2016-08-08
AMD Radeon RX 460,2017-08-01,53245,AMD Radeon RX 460 Mobile,896.0,56.0,16.0,4.0,128.0,2016-08-08
AMD Radeon RX 460,2017-10-01,58136,AMD Radeon RX 460 Mobile,896.0,56.0,16.0,4.0,128.0,2016-08-08
AMD Radeon RX 460,2017-11-01,50847,AMD Radeon RX 460 Mobile,896.0,56.0,16.0,4.0,128.0,2016-08-08
AMD Radeon RX 460,2017-12-01,56549,AMD Radeon RX 460 Mobile,896.0,56.0,16.0,4.0,128.0,2016-08-08
AMD Radeon RX 460,2018-01-01,54074,AMD Radeon RX 460 Mobile,896.0,56.0,16.0,4.0,128.0,2016-08-08
AMD Radeon RX 460,2018-02-01,51927,AMD Radeon RX 460 Mobile,896.0,56.0,16.0,4.0,128.0,2016-08-08
AMD Radeon RX 460,2018-03-01,57232,AMD Radeon RX 460 Mobile,896.0,56.0,16.0,4.0,128.0,2016-08-08
AMD Radeon RX 460,2018-04-01,72242,AMD Radeon RX 460 Mobile,896.0,56.0,16.0,4.0,128.0,2016-08-08
AMD Radeon RX 460,2018-05-01,66601,AMD Radeon RX 460 Mobile,896.0,56.0,16.0,4.0,128.0,2016-08-08
AMD Radeon RX 460,2018-06-01,64845,AMD Radeon RX 460 Mobile,896.0,56.0,16.0,4.0,128.0,2016-08-08
AMD Radeon RX 460,2018-07-01,67069,AMD Radeon RX 460 Mobile,896.0,56.0,16.0,4.0,128.0,2016-08-08
AMD Radeon RX 460,2018-08-01,59042,AMD Radeon RX 460 Mobile,896.0,56.0,16.0,4.0,128.0,2016-08-08
AMD Radeon RX 460,2018-09-01,62052,AMD Radeon RX 460 Mobile,896.0,56.0,16.0,4.0,128.0,2016-08-08
AMD Radeon RX 460,2018-10-01,62771,AMD Radeon RX 460 Mobile,896.0,56.0,16.0,4.0,128.0,2016-08-08
AMD Radeon RX 460,2018-11-01,53637,AMD Radeon RX 460 Mobile,896.0,56.0,16.0,4.0,128.0,2016-08-08
AMD Radeon RX 460,2018-12-01,63849,AMD Radeon RX 460 Mobile,896.0,56.0,16.0,4.0,128.0,2016-08-08
AMD Radeon RX 460,2019-01-01,61058,AMD Radeon RX 460 Mobile,896.0,56.0,16.0,4.0,128.0,2016-08-08
AMD Radeon RX 460,2019-02-01,52442,AMD Radeon RX 460 Mobile,896.0,56.0,16.0,4.0,128.0,2016-08-08
AMD Radeon RX 460,2019-03-01,51471,AMD Radeon RX 460 Mobile,896.0,56.0,16.0,4.0,128.0,2016-08-08
AMD Radeon RX 460,2019-04-01,54831,AMD Radeon RX 460 Mobile,896.0,56.0,16.0,4.0,128.0,2016-08-08
AMD Radeon RX 460,2019-05-01,55735,AMD Radeon RX 460 Mobile,896.0,56.0,16.0,4.0,128.0,2016-08-08
AMD Radeon RX 460,2019-06-01,61221,AMD Radeon RX 460 Mobile,896.0,56.0,16.0,4.0,128.0,2016-08-08
AMD Radeon RX 460,2019-07-01,55381,AMD Radeon RX 460 Mobile,896.0,56.0,16.0,4.0,128.0,2016-08-08
AMD Radeon RX 460,2019-08-01,55612,AMD Radeon RX 460 Mobile,896.0,56.0,16.0,4.0,128.0,2016-08-08
AMD Radeon RX 460,2019-09-01,54726,AMD Radeon RX 460 Mobile,896.0,56.0,16.0,4.0,128.0,2016-08-08
AMD Radeon RX 460,2019-10-01,49977,AMD Radeon RX 460 Mobile,896.0,56.0,16.0,4.0,128.0,2016-08-08
AMD Radeon RX 460,2019-11-01,48704,AMD Radeon RX 460 Mobile,896.0,56.0,16.0,4.0,128.0,2016-08-08
AMD Radeon RX 460,2019-12-01,54897,AMD Radeon RX 460 Mobile,896.0,56.0,16.0,4.0,128.0,2016-08-08
AMD Radeon RX 460,2020-01-01,57330,AMD Radeon RX 460 Mobile,896.0,56.0,16.0,4.0,128.0,2016-08-08
AMD Radeon RX 460,2020-02-01,56511,AMD Radeon RX 460 Mobile,896.0,56.0,16.0,4.0,128.0,2016-08-08
AMD Radeon RX 460,2020-03-01,57716,AMD Radeon RX 460 Mobile,896.0,56.0,16.0,4.0,128.0,2016-08-08
AMD Radeon RX 460,2020-04-01,73849,AMD Radeon RX 460 Mobile,896.0,56.0,16.0,4.0,128.0,2016-08-08
AMD Radeon RX 460,2020-05-01,70546,AMD Radeon RX 460 Mobile,896.0,56.0,16.0,4.0,128.0,2016-08-08
AMD Radeon RX 460,2020-06-01,62740,AMD Radeon RX 460 Mobile,896.0,56.0,16.0,4.0,128.0,2016-08-08
AMD Radeon RX 460,2020-07-01,57902,AMD Radeon RX 460 Mobile,896.0,56.0,16.0,4.0,128.0,2016-08-08
AMD Radeon RX 460,2020-08-01,51284,AMD Radeon RX 460 Mobile,896.0,56.0,16.0,4.0,128.0,2016-08-08
AMD Radeon RX 460,2020-09-01,53166,AMD Radeon RX 460 Mobile,896.0,56.0,16.0,4.0,128.0,2016-08-08
AMD Radeon RX 460,2020-10-01,53407,AMD Radeon RX 460 Mobile,896.0,56.0,16.0,4.0,128.0,2016-08-08
AMD Radeon RX 460,2020-11-01,58032,AMD Radeon RX 460 Mobile,896.0,56.0,16.0,4.0,128.0,2016-08-08
AMD Radeon RX 460,2020-12-01,49566,AMD Radeon RX 460 Mobile,896.0,56.0,16.0,4.0,128.0,2016-08-08
AMD Radeon RX 460,2021-01-01,58085,AMD Radeon RX 460 Mobile,896.0,56.0,16.0,4.0,128.0,2016-08-08
AMD Radeon RX 460,2021-02-01,56528,AMD Radeon RX 460 Mobile,896.0,56.0,16.0,4.0,128.0,2016-08-08
AMD Radeon RX 460,2021-03-01,58629,AMD Radeon RX 460 Mobile,896.0,56.0,16.0,4.0,128.0,2016-08-08
AMD Radeon RX 460,2021-04-01,60460,AMD Radeon RX 460 Mobile,896.0,56.0,16.0,4.0,128.0,2016-08-08
AMD Radeon RX 460,2021-05-01,56667,AMD Radeon RX 460 Mobile,896.0,56.0,16.0,4.0,128.0,2016-08-08
AMD Radeon RX 460,2021-06-01,50719,AMD Radeon RX 460 Mobile,896.0,56.0,16.0,4.0,128.0,2016-08-08
AMD Radeon RX 460,2021-07-01,53721,AMD Radeon RX 460 Mobile,896.0,56.0,16.0,4.0,128.0,2016-08-08
AMD Radeon RX 460,2021-08-01,45463,AMD Radeon RX 460 Mobile,896.0,56.0,16.0,4.0,128.0,2016-08-08
