date,cores,tmus,rops,memory_size,bus_width,release_date,real_users
5443.0,896.0,56.0,16.0,4.0,128.0,5328.0,20263.0
5686.0,896.0,56.0,16.0,4.0,128.0,5328.0,53245.0
5747.0,896.0,56.0,16.0,4.0,128.0,5328.0,58136.0
5778.0,896.0,56.0,16.0,4.0,128.0,5328.0,50847.0
5808.0,896.0,56.0,16.0,4.0,128.0,5328.0,56549.0
5839.0,896.0,56.0,16.0,4.0,128.0,5328.0,54074.0
5870.0,896.0,56.0,16.0,4.0,128.0,5328.0,51927.0
5898.0,896.0,56.0,16.0,4.0,128.0,5328.0,57232.0
5929.0,896.0,56.0,16.0,4.0,128.0,5328.0,72242.0
5959.0,896.0,56.0,16.0,4.0,128.0,5328.0,66601.0
5990.0,896.0,56.0,16.0,4.0,128.0,5328.0,64845.0
6020.0,896.0,56.0,16.0,4.0,128.0,5328.0,67069.0
6051.0,896.0,56.0,16.0,4.0,128.0,5328.0,59042.0
6082.0,896.0,56.0,16.0,4.0,128.0,5328.0,62052.0
6112.0,896.0,56.0,16.0,4.0,128.0,5328.0,62771.0
6143.0,896.0,56.0,16.0,4.0,128.0,5328.0,53637.0
6173.0,896.0,56.0,16.0,4.0,128.0,5328.0,63849.0
6204.0,896.0,56.0,16.0,4.0,128.0,5328.0,61058.0
6235.0,896.0,56.0,16.0,4.0,128.0,5328.0,52442.0
6263.0,896.0,56.0,16.0,4.0,128.0,5328.0,51471.0
6294.0,896.0,56.0,16.0,4.0,128.0,5328.0,54831.0
6324.0,896.0,56.0,16.0,4.0,128.0,5328.0,55735.0
6355.0,896.0,56.0,16.0,4.0,128.0,5328.0,61221.0
6385.0,896.0,56.0,16.0,4.0,128.0,5328.0,55381.0
6416.0,896.0,56.0,16.0,4.0,128.0,5328.0,55612.0
6447.0,896.0,56.0,16.0,4.0,128.0,5328.0,54726.0
6477.0,896.0,56.0,16.0,4.0,128.0,5328.0,49977.0
6508.0,896.0,56.0,16.0,4.0,128.0,5328.0,48704.0
6538.0,896.0,56.0,16.0,4.0,128.0,5328.0,54897.0
6569.0,896.0,56.0,16.0,4.0,128.0,5328.0,57330.0
6600.0,896.0,56.0,16.0,4.0,128.0,5328.0,56511.0
6629.0,896.0,56.0,16.0,4.0,128.0,5328.0,57716.0
6660.0,896.0,56.0,16.0,4.0,128.0,5328.0,73849.0
6690.0,896.0,56.0,16.0,4.0,128.0,5328.0,70546.0
6721.0,896.0,56.0,16.0,4.0,128.0,5328.0,62740.0
6751.0,896.0,56.0,16.0,4.0,128.0,5328.0,57902.0
6782.0,896.0,56.0,16.0,4.0,128.0,5328.0,51284.0
