date, cores, tmus, rops, memory_size, bus_width, release_date, real_users
5108,896.0,56.0,16.0,4.0,128.0,5115,20263
5474,896.0,56.0,16.0,4.0,128.0,5115,53245
5474,896.0,56.0,16.0,4.0,128.0,5115,58136
5474,896.0,56.0,16.0,4.0,128.0,5115,50847
5474,896.0,56.0,16.0,4.0,128.0,5115,56549
5839,896.0,56.0,16.0,4.0,128.0,5115,54074
5839,896.0,56.0,16.0,4.0,128.0,5115,51927
5839,896.0,56.0,16.0,4.0,128.0,5115,57232
5839,896.0,56.0,16.0,4.0,128.0,5115,72242
5839,896.0,56.0,16.0,4.0,128.0,5115,66601
5839,896.0,56.0,16.0,4.0,128.0,5115,64845
5839,896.0,56.0,16.0,4.0,128.0,5115,67069
5839,896.0,56.0,16.0,4.0,128.0,5115,59042
5839,896.0,56.0,16.0,4.0,128.0,5115,62052
5839,896.0,56.0,16.0,4.0,128.0,5115,62771
5839,896.0,56.0,16.0,4.0,128.0,5115,53637
5839,896.0,56.0,16.0,4.0,128.0,5115,63849
6204,896.0,56.0,16.0,4.0,128.0,5115,61058
6204,896.0,56.0,16.0,4.0,128.0,5115,52442
6204,896.0,56.0,16.0,4.0,128.0,5115,51471
6204,896.0,56.0,16.0,4.0,128.0,5115,54831
6204,896.0,56.0,16.0,4.0,128.0,5115,55735
6204,896.0,56.0,16.0,4.0,128.0,5115,61221
6204,896.0,56.0,16.0,4.0,128.0,5115,55381
6204,896.0,56.0,16.0,4.0,128.0,5115,55612
6204,896.0,56.0,16.0,4.0,128.0,5115,54726
6204,896.0,56.0,16.0,4.0,128.0,5115,49977
6204,896.0,56.0,16.0,4.0,128.0,5115,48704
6204,896.0,56.0,16.0,4.0,128.0,5115,54897
6569,896.0,56.0,16.0,4.0,128.0,5115,57330
6569,896.0,56.0,16.0,4.0,128.0,5115,56511
6569,896.0,56.0,16.0,4.0,128.0,5115,57716
6569,896.0,56.0,16.0,4.0,128.0,5115,73849
6569,896.0,56.0,16.0,4.0,128.0,5115,70546
6569,896.0,56.0,16.0,4.0,128.0,5115,62740
6569,896.0,56.0,16.0,4.0,128.0,5115,57902
6569,896.0,56.0,16.0,4.0,128.0,5115,51284
6569,896.0,56.0,16.0,4.0,128.0,5115,53166
6569,896.0,56.0,16.0,4.0,128.0,5115,53407
6569,896.0,56.0,16.0,4.0,128.0,5115,58032
6569,896.0,56.0,16.0,4.0,128.0,5115,49566
6935,896.0,56.0,16.0,4.0,128.0,5115,58085
6935,896.0,56.0,16.0,4.0,128.0,5115,56528
6935,896.0,56.0,16.0,4.0,128.0,5115,58629
6935,896.0,56.0,16.0,4.0,128.0,5115,60460
6935,896.0,56.0,16.0,4.0,128.0,5115,56667
6935,896.0,56.0,16.0,4.0,128.0,5115,50719
6935,896.0,56.0,16.0,4.0,128.0,5115,53721
6935,896.0,56.0,16.0,4.0,128.0,5115,45463
6935,896.0,56.0,16.0,4.0,128.0,5115,47489
6935,896.0,56.0,16.0,4.0,128.0,5115,48704
6935,896.0,56.0,16.0,4.0,128.0,5115,55779
6935,896.0,56.0,16.0,4.0,128.0,5115,79944
7300,896.0,56.0,16.0,4.0,128.0,5115,89636
7300,896.0,56.0,16.0,4.0,128.0,5115,88015
7300,896.0,56.0,16.0,4.0,128.0,5115,80278
7300,896.0,56.0,16.0,4.0,128.0,5115,87035
7300,896.0,56.0,16.0,4.0,128.0,5115,81561
7300,896.0,56.0,16.0,4.0,128.0,5115,74461
7300,896.0,56.0,16.0,4.0,128.0,5115,72559
7300,896.0,56.0,16.0,4.0,128.0,5115,72134
7300,896.0,56.0,16.0,4.0,128.0,5115,66634
7300,896.0,56.0,16.0,4.0,128.0,5115,65148
7300,896.0,56.0,16.0,4.0,128.0,5115,70690
7300,896.0,56.0,16.0,4.0,128.0,5115,66910
7665,896.0,56.0,16.0,4.0,128.0,5115,73979
7665,896.0,56.0,16.0,4.0,128.0,5115,63498
4378,96.0,16.0,4.0,1024.0,128.0,3286,21144
4378,96.0,16.0,4.0,1024.0,128.0,3286,18687
4378,96.0,16.0,4.0,1024.0,128.0,3286,22013
4378,96.0,16.0,4.0,1024.0,128.0,3286,22259
4743,96.0,16.0,4.0,1024.0,128.0,3286,22013
4743,96.0,16.0,4.0,1024.0,128.0,3286,20126
4743,96.0,16.0,4.0,1024.0,128.0,3286,20949
4743,96.0,16.0,4.0,1024.0,128.0,3286,20150
4743,96.0,16.0,4.0,1024.0,128.0,3286,28295
5108,96.0,16.0,4.0,1024.0,128.0,3286,22246
5108,96.0,16.0,4.0,1024.0,128.0,3286,20133
5108,96.0,16.0,4.0,1024.0,128.0,3286,19779
5108,96.0,16.0,4.0,1024.0,128.0,3286,19224
5108,96.0,16.0,4.0,1024.0,128.0,3286,21064
5108,96.0,16.0,4.0,1024.0,128.0,3286,18803
5108,96.0,16.0,4.0,1024.0,128.0,3286,18525
5108,96.0,16.0,4.0,1024.0,128.0,3286,16566
4378,160.0,20.0,2.0,0,0,4039,34026
4378,160.0,20.0,2.0,0,0,4039,38932
4378,160.0,20.0,2.0,0,0,4039,47065
4378,160.0,20.0,2.0,0,0,4039,55822
4378,160.0,20.0,2.0,0,0,4039,55197
4378,160.0,20.0,2.0,0,0,4039,64842
4378,160.0,20.0,2.0,0,0,4039,61218
4378,160.0,20.0,2.0,0,0,4039,75148
4378,160.0,20.0,2.0,0,0,4039,85061
4743,160.0,20.0,2.0,0,0,4039,89747
4743,160.0,20.0,2.0,0,0,4039,104824
4743,160.0,20.0,2.0,0,0,4039,109984
4743,160.0,20.0,2.0,0,0,4039,111741
4743,160.0,20.0,2.0,0,0,4039,157648
5108,160.0,20.0,2.0,0,0,4039,127624
5108,160.0,20.0,2.0,0,0,4039,118566
5108,160.0,20.0,2.0,0,0,4039,115382
5108,160.0,20.0,2.0,0,0,4039,115347
5108,160.0,20.0,2.0,0,0,4039,126385
5108,160.0,20.0,2.0,0,0,4039,115032
5108,160.0,20.0,2.0,0,0,4039,115784
5108,160.0,20.0,2.0,0,0,4039,107131
5108,160.0,20.0,2.0,0,0,4039,132102
5108,160.0,20.0,2.0,0,0,4039,121851
5108,160.0,20.0,2.0,0,0,4039,116813
5474,160.0,20.0,2.0,0,0,4039,92869
5474,160.0,20.0,2.0,0,0,4039,75900
5474,160.0,20.0,2.0,0,0,4039,56829
5474,160.0,20.0,2.0,0,0,4039,54978
5839,160.0,20.0,2.0,0,0,4039,50694
5839,160.0,20.0,2.0,0,0,4039,48780
5839,160.0,20.0,2.0,0,0,4039,60412
5839,160.0,20.0,2.0,0,0,4039,92882
5839,160.0,20.0,2.0,0,0,4039,92592
5839,160.0,20.0,2.0,0,0,4039,89548
5839,160.0,20.0,2.0,0,0,4039,83427
5839,160.0,20.0,2.0,0,0,4039,80128
5839,160.0,20.0,2.0,0,0,4039,87510
5839,160.0,20.0,2.0,0,0,4039,71331
5839,160.0,20.0,2.0,0,0,4039,79730
5839,160.0,20.0,2.0,0,0,4039,90044
6204,160.0,20.0,2.0,0,0,4039,88373
6204,160.0,20.0,2.0,0,0,4039,81749
6204,160.0,20.0,2.0,0,0,4039,81749
6204,160.0,20.0,2.0,0,0,4039,72614
6204,160.0,20.0,2.0,0,0,4039,81214
6204,160.0,20.0,2.0,0,0,4039,75721
6204,160.0,20.0,2.0,0,0,4039,76918
6204,160.0,20.0,2.0,0,0,4039,71710
6204,160.0,20.0,2.0,0,0,4039,77260
6204,160.0,20.0,2.0,0,0,4039,65684
6204,160.0,20.0,2.0,0,0,4039,70012
6204,160.0,20.0,2.0,0,0,4039,77199
6569,160.0,20.0,2.0,0,0,4039,75878
6569,160.0,20.0,2.0,0,0,4039,85678
6569,160.0,20.0,2.0,0,0,4039,82726
6569,160.0,20.0,2.0,0,0,4039,111965
6569,160.0,20.0,2.0,0,0,4039,110522
6569,160.0,20.0,2.0,0,0,4039,97356
6569,160.0,20.0,2.0,0,0,4039,90990
6569,160.0,20.0,2.0,0,0,4039,83575
6569,160.0,20.0,2.0,0,0,4039,85883
6569,160.0,20.0,2.0,0,0,4039,89724
