card,date,real_users
AMD Radeon 6600M and 6700M Series,2015-05-01,18449
AMD Radeon 6600M and 6700M Series,2015-06-01,19203
AMD Radeon 6600M and 6700M Series,2015-09-01,17402
AMD Radeon 6600M and 6700M Series,2015-11-01,26948
AMD Radeon 6600M and 6700M Series,2016-01-01,21075
AMD Radeon 6600M and 6700M Series,2016-02-01,19015
AMD Radeon 6600M and 6700M Series,2016-03-01,18681
AMD Radeon 6600M and 6700M Series,2016-04-01,20355
AMD Radeon 6600M and 6700M Series,2016-05-01,22303
AMD Radeon 6600M and 6700M Series,2016-06-01,18803
AMD Radeon 6600M and 6700M Series,2016-07-01,18525
AMD Radeon 6600M and 6700M Series,2016-08-01,16566
