card,date,real_users
AMD Radeon HD 7640G,2015-05-01,28512
AMD Radeon HD 7640G,2015-06-01,28805
AMD Radeon HD 7640G,2015-09-01,27477
AMD Radeon HD 7640G,2015-11-01,37727
AMD Radeon HD 7640G,2016-01-01,28100
AMD Radeon HD 7640G,2016-02-01,26845
AMD Radeon HD 7640G,2016-03-01,26373
AMD Radeon HD 7640G,2016-04-01,26009
AMD Radeon HD 7640G,2016-05-01,27259
AMD Radeon HD 7640G,2016-06-01,24333
AMD Radeon HD 7640G,2016-07-01,24314
AMD Radeon HD 7640G,2016-08-01,22088
AMD Radeon HD 7640G,2016-10-01,21815
AMD Radeon HD 7640G,2016-11-01,21294
AMD Radeon HD 7640G,2016-12-01,20263
