card,date,real_users
AMD Radeon R9 380 Series,2016-06-01,24333
AMD Radeon R9 380 Series,2016-07-01,60207
AMD Radeon R9 380 Series,2016-08-01,60744
AMD Radeon R9 380 Series,2016-10-01,69081
AMD Radeon R9 380 Series,2016-11-01,63883
AMD Radeon R9 380 Series,2016-12-01,63174
AMD Radeon R9 380 Series,2017-08-01,59436
AMD Radeon R9 380 Series,2017-10-01,37142
AMD Radeon R9 380 Series,2017-11-01,26919
AMD Radeon R9 380 Series,2017-12-01,29845
AMD Radeon R9 380 Series,2018-01-01,28727
AMD Radeon R9 380 Series,2018-02-01,29897
AMD Radeon R9 380 Series,2018-03-01,39744
AMD Radeon R9 380 Series,2018-04-01,58481
AMD Radeon R9 380 Series,2018-05-01,56855
AMD Radeon R9 380 Series,2018-06-01,54038
AMD Radeon R9 380 Series,2018-07-01,50710
AMD Radeon R9 380 Series,2018-08-01,49201
AMD Radeon R9 380 Series,2018-09-01,52506
AMD Radeon R9 380 Series,2018-10-01,44225
AMD Radeon R9 380 Series,2018-11-01,47838
AMD Radeon R9 380 Series,2018-12-01,54026
AMD Radeon R9 380 Series,2019-01-01,49810
AMD Radeon R9 380 Series,2019-02-01,46273
AMD Radeon R9 380 Series,2019-03-01,45416
AMD Radeon R9 380 Series,2019-04-01,41493
AMD Radeon R9 380 Series,2019-05-01,44588
AMD Radeon R9 380 Series,2019-06-01,45110
AMD Radeon R9 380 Series,2019-07-01,41536
AMD Radeon R9 380 Series,2019-08-01,39514
AMD Radeon R9 380 Series,2019-09-01,41849
AMD Radeon R9 380 Series,2019-10-01,34270
AMD Radeon R9 380 Series,2019-11-01,38050
AMD Radeon R9 380 Series,2019-12-01,39457
AMD Radeon R9 380 Series,2020-01-01,42154
AMD Radeon R9 380 Series,2020-02-01,41927
AMD Radeon R9 380 Series,2020-03-01,42325
AMD Radeon R9 380 Series,2020-04-01,52409
AMD Radeon R9 380 Series,2020-05-01,49382
AMD Radeon R9 380 Series,2020-06-01,43269
AMD Radeon R9 380 Series,2020-07-01,39291
AMD Radeon R9 380 Series,2020-08-01,34189
AMD Radeon R9 380 Series,2020-09-01,36807
AMD Radeon R9 380 Series,2020-10-01,40589
AMD Radeon R9 380 Series,2020-11-01,41783
AMD Radeon R9 380 Series,2021-01-01,38723
AMD Radeon R9 380 Series,2021-02-01,39324
AMD Radeon R9 380 Series,2021-03-01,40785
AMD Radeon R9 380 Series,2021-05-01,39420
