card,date,real_users
AMD Radeon RX 550,2018-08-01,22492
AMD Radeon RX 550,2018-09-01,28639
AMD Radeon RX 550,2018-10-01,22826
AMD Radeon RX 550,2018-11-01,24644
AMD Radeon RX 550,2018-12-01,26194
AMD Radeon RX 550,2019-01-01,28922
AMD Radeon RX 550,2019-02-01,29306
AMD Radeon RX 550,2019-03-01,30277
AMD Radeon RX 550,2019-04-01,29638
AMD Radeon RX 550,2019-05-01,33441
AMD Radeon RX 550,2019-06-01,35444
AMD Radeon RX 550,2019-07-01,33844
AMD Radeon RX 550,2019-08-01,33660
AMD Radeon RX 550,2019-09-01,48287
AMD Radeon RX 550,2019-10-01,38554
AMD Radeon RX 550,2019-11-01,35006
AMD Radeon RX 550,2019-12-01,39457
AMD Radeon RX 550,2020-01-01,42154
AMD Radeon RX 550,2020-02-01,49219
AMD Radeon RX 550,2020-03-01,51944
AMD Radeon RX 550,2020-04-01,64320
AMD Radeon RX 550,2020-05-01,65843
AMD Radeon RX 550,2020-06-01,62740
AMD Radeon RX 550,2020-07-01,59970
AMD Radeon RX 550,2020-08-01,58882
AMD Radeon RX 550,2020-09-01,67480
AMD Radeon RX 550,2020-10-01,70497
AMD Radeon RX 550,2020-11-01,83567
AMD Radeon RX 550,2020-12-01,75529
AMD Radeon RX 550,2021-01-01,96809
AMD Radeon RX 550,2021-02-01,100768
AMD Radeon RX 550,2021-03-01,109610
AMD Radeon RX 550,2021-04-01,118401
AMD Radeon RX 550,2021-05-01,118262
AMD Radeon RX 550,2021-06-01,113515
AMD Radeon RX 550,2021-07-01,117210
AMD Radeon RX 550,2021-08-01,105283
AMD Radeon RX 550,2021-09-01,109225
AMD Radeon RX 550,2021-10-01,114456
AMD Radeon RX 550,2021-11-01,116629
AMD Radeon RX 550,2021-12-01,112422
AMD Radeon RX 550,2022-01-01,123909
AMD Radeon RX 550,2022-02-01,122688
AMD Radeon RX 550,2022-03-01,117741
AMD Radeon RX 550,2022-04-01,130553
AMD Radeon RX 550,2022-05-01,137810
AMD Radeon RX 550,2022-06-01,123247
AMD Radeon RX 550,2022-07-01,134368
AMD Radeon RX 550,2022-08-01,121082
AMD Radeon RX 550,2022-09-01,110202
AMD Radeon RX 550,2022-10-01,116134
AMD Radeon RX 550,2022-11-01,124415
AMD Radeon RX 550,2022-12-01,122669
AMD Radeon RX 550,2023-01-01,132547
AMD Radeon RX 550,2023-02-01,118338
