card,date,real_users
AMD Radeon Vega 3 Graphics,2020-02-01,29167
AMD Radeon Vega 3 Graphics,2020-03-01,32705
AMD Radeon Vega 3 Graphics,2020-04-01,40498
AMD Radeon Vega 3 Graphics,2020-05-01,49382
AMD Radeon Vega 3 Graphics,2020-06-01,49759
AMD Radeon Vega 3 Graphics,2020-07-01,47563
AMD Radeon Vega 3 Graphics,2020-08-01,49385
AMD Radeon Vega 3 Graphics,2020-09-01,57255
AMD Radeon Vega 3 Graphics,2020-10-01,64088
AMD Radeon Vega 3 Graphics,2020-11-01,71960
AMD Radeon Vega 3 Graphics,2020-12-01,63728
AMD Radeon Vega 3 Graphics,2021-01-01,77447
AMD Radeon Vega 3 Graphics,2021-02-01,81105
AMD Radeon Vega 3 Graphics,2021-03-01,86668
AMD Radeon Vega 3 Graphics,2021-04-01,83133
AMD Radeon Vega 3 Graphics,2021-05-01,93624
AMD Radeon Vega 3 Graphics,2021-06-01,89363
AMD Radeon Vega 3 Graphics,2021-07-01,92791
AMD Radeon Vega 3 Graphics,2021-08-01,83748
AMD Radeon Vega 3 Graphics,2021-09-01,104476
AMD Radeon Vega 3 Graphics,2021-10-01,109585
AMD Radeon Vega 3 Graphics,2021-11-01,119164
AMD Radeon Vega 3 Graphics,2021-12-01,114920
AMD Radeon Vega 3 Graphics,2022-01-01,123909
AMD Radeon Vega 3 Graphics,2022-02-01,122688
AMD Radeon Vega 3 Graphics,2022-03-01,123092
AMD Radeon Vega 3 Graphics,2022-04-01,130553
AMD Radeon Vega 3 Graphics,2022-05-01,126560
AMD Radeon Vega 3 Graphics,2022-06-01,128382
AMD Radeon Vega 3 Graphics,2022-07-01,102120
AMD Radeon Vega 3 Graphics,2022-08-01,133964
AMD Radeon Vega 3 Graphics,2022-09-01,117891
AMD Radeon Vega 3 Graphics,2022-10-01,127464
AMD Radeon Vega 3 Graphics,2022-11-01,141380
AMD Radeon Vega 3 Graphics,2022-12-01,133821
AMD Radeon Vega 3 Graphics,2023-01-01,147959
AMD Radeon Vega 3 Graphics,2023-02-01,129884
