card,date,real_users
ATI Mobility Radeon HD 4650,2010-01-01,14910
ATI Mobility Radeon HD 4650,2010-02-01,15224
ATI Mobility Radeon HD 4650,2010-03-01,16769
ATI Mobility Radeon HD 4650,2010-05-01,14961
ATI Mobility Radeon HD 4650,2010-06-01,17758
ATI Mobility Radeon HD 4650,2010-07-01,17063
ATI Mobility Radeon HD 4650,2010-08-01,17343
ATI Mobility Radeon HD 4650,2010-11-01,23570
ATI Mobility Radeon HD 4650,2011-01-01,27770
ATI Mobility Radeon HD 4650,2011-04-01,23632
ATI Mobility Radeon HD 4650,2011-06-01,24249
ATI Mobility Radeon HD 4650,2011-08-01,30241
ATI Mobility Radeon HD 4650,2011-10-01,33401
ATI Mobility Radeon HD 4650,2011-11-01,35701
ATI Mobility Radeon HD 4650,2011-12-01,36816
ATI Mobility Radeon HD 4650,2012-02-01,37975
ATI Mobility Radeon HD 4650,2012-03-01,23264
ATI Mobility Radeon HD 4650,2012-04-01,25431
ATI Mobility Radeon HD 4650,2014-09-01,11276
ATI Mobility Radeon HD 4650,2014-10-01,9666
