card,date,real_users
ATI Mobility Radeon HD 5000 Series,2015-05-01,78827
ATI Mobility Radeon HD 5000 Series,2015-06-01,80305
ATI Mobility Radeon HD 5000 Series,2015-09-01,73273
ATI Mobility Radeon HD 5000 Series,2015-11-01,101056
ATI Mobility Radeon HD 5000 Series,2016-01-01,86644
ATI Mobility Radeon HD 5000 Series,2016-02-01,78298
ATI Mobility Radeon HD 5000 Series,2016-03-01,76921
ATI Mobility Radeon HD 5000 Series,2016-04-01,73505
ATI Mobility Radeon HD 5000 Series,2016-05-01,79300
ATI Mobility Radeon HD 5000 Series,2016-06-01,67471
ATI Mobility Radeon HD 5000 Series,2016-07-01,67154
ATI Mobility Radeon HD 5000 Series,2016-08-01,62953
ATI Mobility Radeon HD 5000 Series,2016-10-01,64233
ATI Mobility Radeon HD 5000 Series,2016-11-01,60334
ATI Mobility Radeon HD 5000 Series,2016-12-01,58406
ATI Mobility Radeon HD 5000 Series,2017-08-01,37147
ATI Mobility Radeon HD 5000 Series,2017-10-01,24223
ATI Mobility Radeon HD 5000 Series,2018-04-01,32681
ATI Mobility Radeon HD 5000 Series,2018-05-01,32488
ATI Mobility Radeon HD 5000 Series,2018-06-01,29334
ATI Mobility Radeon HD 5000 Series,2018-07-01,27809
ATI Mobility Radeon HD 5000 Series,2018-08-01,25303
ATI Mobility Radeon HD 5000 Series,2018-09-01,25457
ATI Mobility Radeon HD 5000 Series,2018-10-01,21399
ATI Mobility Radeon HD 5000 Series,2018-11-01,23194
ATI Mobility Radeon HD 5000 Series,2018-12-01,27832
ATI Mobility Radeon HD 5000 Series,2019-01-01,27315
ATI Mobility Radeon HD 5000 Series,2019-02-01,23136
ATI Mobility Radeon HD 5000 Series,2019-03-01,24222
