card,date,real_users
ATI Radeon 9200,2008-11-01,18602
ATI Radeon 9200,2009-01-01,19199
ATI Radeon 9200,2009-02-01,20580
ATI Radeon 9200,2009-03-01,19156
ATI Radeon 9200,2009-04-01,18516
ATI Radeon 9200,2009-05-01,15502
ATI Radeon 9200,2009-06-01,16994
ATI Radeon 9200,2009-07-01,14457
ATI Radeon 9200,2009-08-01,13196
ATI Radeon 9200,2009-09-01,14895
ATI Radeon 9200,2009-10-01,11673
ATI Radeon 9200,2009-11-01,11106
ATI Radeon 9200,2009-12-01,13087
ATI Radeon 9200,2010-01-01,13948
ATI Radeon 9200,2010-02-01,12769
ATI Radeon 9200,2010-03-01,12217
