card,date,real_users
ATI Radeon HD 4850,2011-01-01,97196
ATI Radeon HD 4850,2011-04-01,98666
ATI Radeon HD 4850,2011-06-01,90025
ATI Radeon HD 4850,2011-08-01,101976
ATI Radeon HD 4850,2011-12-01,129068
ATI Radeon HD 4850,2012-02-01,117459
ATI Radeon HD 4850,2012-03-01,56623
ATI Radeon HD 4850,2012-04-01,56847
ATI Radeon HD 4850,2012-05-01,51919
ATI Radeon HD 4850,2012-07-01,44795
ATI Radeon HD 4850,2012-08-01,39455
ATI Radeon HD 4850,2012-10-01,47345
ATI Radeon HD 4850,2012-12-01,43485
ATI Radeon HD 4850,2013-02-01,42478
ATI Radeon HD 4850,2013-03-01,32707
ATI Radeon HD 4850,2013-06-01,31657
ATI Radeon HD 4850,2013-07-01,30403
ATI Radeon HD 4850,2013-09-01,32985
