card,date,real_users
Intel(R) Iris(R) Plus Graphics,2021-01-01,36303
Intel(R) Iris(R) Plus Graphics,2021-03-01,63727
Intel(R) Iris(R) Plus Graphics,2021-04-01,62979
Intel(R) Iris(R) Plus Graphics,2021-05-01,64058
Intel(R) Iris(R) Plus Graphics,2021-06-01,55550
Intel(R) Iris(R) Plus Graphics,2021-07-01,56163
Intel(R) Iris(R) Plus Graphics,2021-08-01,50249
Intel(R) Iris(R) Plus Graphics,2021-09-01,52238
Intel(R) Iris(R) Plus Graphics,2021-10-01,56010
Intel(R) Iris(R) Plus Graphics,2021-11-01,50708
