card,date,real_users
Intel Cherryview Cherrytrail,2016-07-01,33577
Intel Cherryview Cherrytrail,2016-08-01,36446
Intel Cherryview Cherrytrail,2016-10-01,48478
Intel Cherryview Cherrytrail,2016-11-01,50870
Intel Cherryview Cherrytrail,2016-12-01,64366
Intel Cherryview Cherrytrail,2017-08-01,45815
Intel Cherryview Cherrytrail,2017-10-01,43602
Intel Cherryview Cherrytrail,2017-11-01,34396
Intel Cherryview Cherrytrail,2017-12-01,37699
Intel Cherryview Cherrytrail,2018-01-01,35486
Intel Cherryview Cherrytrail,2018-02-01,36191
Intel Cherryview Cherrytrail,2018-03-01,39744
Intel Cherryview Cherrytrail,2018-04-01,58481
Intel Cherryview Cherrytrail,2018-05-01,58479
Intel Cherryview Cherrytrail,2018-06-01,57125
Intel Cherryview Cherrytrail,2018-07-01,53982
Intel Cherryview Cherrytrail,2018-08-01,50607
Intel Cherryview Cherrytrail,2018-09-01,52506
Intel Cherryview Cherrytrail,2018-10-01,42798
Intel Cherryview Cherrytrail,2018-11-01,46388
Intel Cherryview Cherrytrail,2018-12-01,58938
Intel Cherryview Cherrytrail,2019-01-01,54631
Intel Cherryview Cherrytrail,2019-02-01,47815
Intel Cherryview Cherrytrail,2019-03-01,48444
Intel Cherryview Cherrytrail,2019-04-01,42975
Intel Cherryview Cherrytrail,2019-05-01,47773
Intel Cherryview Cherrytrail,2019-06-01,40277
Intel Cherryview Cherrytrail,2019-07-01,44612
Intel Cherryview Cherrytrail,2019-08-01,42441
Intel Cherryview Cherrytrail,2019-09-01,41849
Intel Cherryview Cherrytrail,2019-10-01,35698
Intel Cherryview Cherrytrail,2019-11-01,36528
Intel Cherryview Cherrytrail,2019-12-01,42888
Intel Cherryview Cherrytrail,2020-01-01,35410
Intel Cherryview Cherrytrail,2020-02-01,40104
Intel Cherryview Cherrytrail,2020-03-01,46173
Intel Cherryview Cherrytrail,2020-04-01,61938
Intel Cherryview Cherrytrail,2020-05-01,65843
Intel Cherryview Cherrytrail,2020-06-01,51923
Intel Cherryview Cherrytrail,2020-07-01,45495
Intel Cherryview Cherrytrail,2020-08-01,41787
Intel Cherryview Cherrytrail,2020-09-01,40897
Intel Cherryview Cherrytrail,2020-10-01,46998
Intel Cherryview Cherrytrail,2020-11-01,48747
Intel Cherryview Cherrytrail,2020-12-01,37764
Intel Cherryview Cherrytrail,2021-01-01,43564
Intel Cherryview Cherrytrail,2021-02-01,41781
Intel Cherryview Cherrytrail,2021-03-01,40785
Intel Cherryview Cherrytrail,2021-05-01,36956
Intel Cherryview Cherrytrail,2021-06-01,41058
Intel Cherryview Cherrytrail,2021-07-01,43953
