card,date,real_users
Intel HD Graphics 520,2016-03-01,17582
Intel HD Graphics 520,2016-04-01,21486
Intel HD Graphics 520,2016-05-01,27259
Intel HD Graphics 520,2016-06-01,27652
Intel HD Graphics 520,2016-07-01,34735
Intel HD Graphics 520,2016-08-01,44177
Intel HD Graphics 520,2016-10-01,60597
Intel HD Graphics 520,2016-11-01,63883
Intel HD Graphics 520,2016-12-01,76286
Intel HD Graphics 520,2017-08-01,76772
Intel HD Graphics 520,2017-10-01,71055
Intel HD Graphics 520,2017-11-01,53838
Intel HD Graphics 520,2017-12-01,53407
Intel HD Graphics 520,2018-01-01,54074
Intel HD Graphics 520,2018-02-01,53500
Intel HD Graphics 520,2018-03-01,66771
Intel HD Graphics 520,2018-04-01,108363
Intel HD Graphics 520,2018-05-01,113710
Intel HD Graphics 520,2018-06-01,111163
Intel HD Graphics 520,2018-07-01,106329
Intel HD Graphics 520,2018-08-01,102620
Intel HD Graphics 520,2018-09-01,111376
Intel HD Graphics 520,2018-10-01,95584
Intel HD Graphics 520,2018-11-01,105824
Intel HD Graphics 520,2018-12-01,121151
Intel HD Graphics 520,2019-01-01,115689
Intel HD Graphics 520,2019-02-01,103343
Intel HD Graphics 520,2019-03-01,105971
Intel HD Graphics 520,2019-04-01,96325
Intel HD Graphics 520,2019-05-01,109878
Intel HD Graphics 520,2019-06-01,101499
Intel HD Graphics 520,2019-07-01,103070
Intel HD Graphics 520,2019-08-01,95126
Intel HD Graphics 520,2019-09-01,104623
Intel HD Graphics 520,2019-10-01,91387
Intel HD Graphics 520,2019-11-01,92842
Intel HD Graphics 520,2019-12-01,106363
Intel HD Graphics 520,2020-01-01,96112
Intel HD Graphics 520,2020-02-01,109376
Intel HD Graphics 520,2020-03-01,126976
Intel HD Graphics 520,2020-04-01,161993
Intel HD Graphics 520,2020-05-01,166959
Intel HD Graphics 520,2020-06-01,140625
Intel HD Graphics 520,2020-07-01,132349
Intel HD Graphics 520,2020-08-01,117765
Intel HD Graphics 520,2020-09-01,124736
Intel HD Graphics 520,2020-10-01,128177
Intel HD Graphics 520,2020-11-01,132315
Intel HD Graphics 520,2020-12-01,108574
Intel HD Graphics 520,2021-01-01,125851
Intel HD Graphics 520,2021-02-01,120430
Intel HD Graphics 520,2021-03-01,119807
Intel HD Graphics 520,2021-04-01,110844
Intel HD Graphics 520,2021-05-01,110870
Intel HD Graphics 520,2021-06-01,106270
Intel HD Graphics 520,2021-07-01,114768
Intel HD Graphics 520,2021-08-01,98105
Intel HD Graphics 520,2021-09-01,99727
Intel HD Graphics 520,2021-10-01,102280
Intel HD Graphics 520,2021-11-01,103952
Intel HD Graphics 520,2021-12-01,97432
Intel HD Graphics 520,2022-01-01,102818
Intel HD Graphics 520,2022-02-01,96017
Intel HD Graphics 520,2022-03-01,96333
Intel HD Graphics 520,2022-04-01,97914
Intel HD Graphics 520,2022-05-01,89998
Intel HD Graphics 520,2022-06-01,95003
Intel HD Graphics 520,2022-07-01,72559
Intel HD Graphics 520,2022-08-01,92744
Intel HD Graphics 520,2022-09-01,82011
Intel HD Graphics 520,2022-10-01,87808
Intel HD Graphics 520,2022-11-01,93311
Intel HD Graphics 520,2022-12-01,97578
Intel HD Graphics 520,2023-01-01,107887
Intel HD Graphics 520,2023-02-01,95248
