card,date,real_users
Intel Iris Plus Graphics,2020-09-01,36807
Intel Iris Plus Graphics,2020-10-01,44862
Intel Iris Plus Graphics,2020-11-01,51069
Intel Iris Plus Graphics,2020-12-01,47206
Intel Iris Plus Graphics,2021-01-01,55665
Intel Iris Plus Graphics,2021-02-01,56528
Intel Iris Plus Graphics,2021-11-01,40566
Intel Iris Plus Graphics,2021-12-01,64954
Intel Iris Plus Graphics,2022-01-01,71182
Intel Iris Plus Graphics,2022-02-01,69345
Intel Iris Plus Graphics,2022-03-01,66898
Intel Iris Plus Graphics,2022-04-01,70716
Intel Iris Plus Graphics,2022-05-01,61874
Intel Iris Plus Graphics,2022-06-01,59055
Intel Iris Plus Graphics,2022-07-01,40310
Intel Iris Plus Graphics,2022-08-01,59253
Intel Iris Plus Graphics,2022-09-01,53819
Intel Iris Plus Graphics,2022-10-01,53818
Intel Iris Plus Graphics,2022-11-01,59379
Intel Iris Plus Graphics,2022-12-01,61334
Intel Iris Plus Graphics,2023-01-01,67814
Intel Iris Plus Graphics,2023-02-01,60612
